age,year,area,f
1,1954,1,1.268429e-11
2,1954,1,7.067516e-06
3,1954,1,8.348334e-05
4,1954,1,0.0008329418
5,1954,1,0.01832004
6,1954,1,0.02020115
7,1954,1,0.00843666
8,1954,1,0.003925594
9,1954,1,0.002479382
10,1954,1,0.001963711
11,1954,1,0.001767941
12,1954,1,0.001767941
1,1955,1,1.424401e-11
2,1955,1,0.0001048331
3,1955,1,0.001105592
4,1955,1,0.003417706
5,1955,1,0.01382091
6,1955,1,0.02260882
7,1955,1,0.0167347
8,1955,1,0.012046
9,1955,1,0.01004986
10,1955,1,0.009234568
11,1955,1,0.008899496
12,1955,1,0.008899496
1,1956,1,1.033447e-11
2,1956,1,5.275153e-05
3,1956,1,0.0005569656
4,1956,1,0.001765271
5,1956,1,0.009581464
6,1956,1,0.01515727
7,1956,1,0.0111263
8,1956,1,0.008499423
9,1956,1,0.007415204
10,1956,1,0.006964847
11,1956,1,0.00677387
12,1956,1,0.00677387
1,1957,1,1.63659e-11
2,1957,1,4.051532e-05
3,1957,1,0.0004300774
4,1957,1,0.001507865
5,1957,1,0.01047814
6,1957,1,0.01920332
7,1957,1,0.01793869
8,1957,1,0.01608855
9,1957,1,0.01522258
10,1957,1,0.01480764
11,1957,1,0.01460426
12,1957,1,0.01460426
1,1958,1,2.408228e-11
2,1958,1,0.0001725084
3,1958,1,0.001817617
4,1958,1,0.005507556
5,1958,1,0.0178934
6,1958,1,0.03111331
7,1958,1,0.02783574
8,1958,1,0.0232874
9,1958,1,0.02117745
10,1958,1,0.02026028
11,1958,1,0.01985728
12,1958,1,0.01985728
1,1959,1,3.416139e-11
2,1959,1,0.000211176
3,1959,1,0.002223602
4,1959,1,0.006647197
5,1959,1,0.02020954
6,1959,1,0.04053163
7,1959,1,0.04101532
8,1959,1,0.03676373
9,1959,1,0.03444291
10,1959,1,0.03333035
11,1959,1,0.03280563
12,1959,1,0.03280563
1,1960,1,3.569434e-11
2,1960,1,0.0002333363
3,1960,1,0.002453817
4,1960,1,0.007138337
5,1960,1,0.01928202
6,1960,1,0.04884038
7,1960,1,0.04897202
8,1960,1,0.04222984
9,1960,1,0.03873429
10,1960,1,0.03713712
11,1960,1,0.03641448
12,1960,1,0.03641448
1,1961,1,4.593e-11
2,1961,1,0.0002472806
3,1961,1,0.002609584
4,1961,1,0.008177466
5,1961,1,0.03587137
6,1961,1,0.05802551
7,1961,1,0.04948122
8,1961,1,0.04164995
9,1961,1,0.03812705
10,1961,1,0.03657331
11,1961,1,0.03587756
12,1961,1,0.03587756
1,1962,1,5.128486e-11
2,1962,1,0.0002333119
3,1962,1,0.002461329
4,1962,1,0.007665597
5,1962,1,0.03924171
6,1962,1,0.09094798
7,1962,1,0.07476287
8,1962,1,0.05557591
9,1962,1,0.04691391
10,1962,1,0.04325742
11,1962,1,0.04171628
12,1962,1,0.04171628
1,1963,1,4.810579e-11
2,1963,1,0.0002780595
3,1963,1,0.002922426
4,1963,1,0.008390753
5,1963,1,0.02038669
6,1963,1,0.06540744
7,1963,1,0.06946981
8,1963,1,0.06138069
9,1963,1,0.0570581
10,1963,1,0.05504341
11,1963,1,0.05410871
12,1963,1,0.05410871
1,1964,1,4.695343e-11
2,1964,1,0.00025453
3,1964,1,0.002677226
