year,area,age,n
1954,1,1,119801000
1954,1,2,61541900
1954,1,3,35458800
1954,1,4,21758100
1954,1,5,14127700
1954,1,6,9619920
1954,1,7,6680730
1954,1,8,4698730
1954,1,9,3333130
1954,1,10,2380140
1954,1,11,1708850
1954,1,12,6614840
1955,1,1,119801000
1955,1,2,61449500
1955,1,3,35473300
1955,1,4,21881200
1955,1,5,14258500
1955,1,6,9542470
1955,1,7,6608940
1955,1,8,4698500
1955,1,9,3345780
1955,1,10,2391130
1955,1,11,1716480
1955,1,12,6080630
1956,1,1,132038000
1956,1,2,62109500
1956,1,3,35579800
1956,1,4,21697800
1956,1,5,14047300
1956,1,6,9491070
1956,1,7,6444810
1956,1,8,4554010
1956,1,9,3279070
1956,1,10,2355930
1956,1,11,1695620
1956,1,12,5644800
1957,1,1,73381000
1957,1,2,68453800
1957,1,3,35843100
1957,1,4,21756400
1957,1,5,13991700
1957,1,6,9440730
1957,1,7,6480650
1957,1,8,4484690
1957,1,9,3204800
1957,1,10,2324360
1957,1,11,1680160
1957,1,12,5324220
1958,1,1,82874300
1958,1,2,38043700
1958,1,3,39504800
1958,1,4,21872800
1958,1,5,14023300
1958,1,6,9412880
1958,1,7,6439740
1958,1,8,4486770
1958,1,9,3139570
1958,1,10,2260570
1958,1,11,1648990
1958,1,12,5044600
1959,1,1,38295700
1959,1,2,42789400
1959,1,3,21902400
1959,1,4,24028600
1959,1,5,13988400
1959,1,6,9336050
1959,1,7,6334610
1959,1,8,4409110
1959,1,9,3111540
1959,1,10,2196450
1959,1,11,1591390
1959,1,12,4776780
1960,1,1,24166500
1960,1,2,19772700
1960,1,3,24660400
1960,1,4,13326000
1960,1,5,15365500
1960,1,6,9295950
1960,1,7,6241830
1960,1,8,4301050
1960,1,9,3033030
1960,1,10,2159120
1960,1,11,1534360
1960,1,12,4510820
1961,1,1,66937600
1961,1,2,12477600
1961,1,3,11395200
1961,1,4,15011000
1961,1,5,8521990
1961,1,6,10228500
1961,1,7,6164260
1961,1,8,4210430
1961,1,9,2950020
1961,1,10,2101770
1961,1,11,1506830
1961,1,12,4279100
1962,1,1,86235800
1962,1,2,34561000
1962,1,3,7190810
1962,1,4,6935240
1962,1,5,9595130
1962,1,6,5582820
1962,1,7,6725910
1962,1,8,4163340
1962,1,9,2896430
1962,1,10,2050560
1962,1,11,1471230
1962,1,12,4106930
1963,1,1,113009000
1963,1,2,44525000
1963,1,3,19917800
1963,1,4,4377110
1963,1,5,4435510
1963,1,6,6269460
1963,1,7,3563740
1963,1,8,4437080
1963,1,9,2827420
1963,1,10,1998350
1963,1,11,1427840
1963,1,12,3941280
1964,1,1,33445100
1964,1,2,58348400
1964,1,3,25659000
1964,1,4,12118300
1964,1,5,2796200
1964,1,6,2950890
1964,1,7,4097170
1964,1,8,2363630
1964,1,9,2999130
1964,1,10,1934340
1964,1,11,1378180
1964,1,12,3755420
1965,1,1,13281700
1965,1,2,17268300
1965,1,3,33625900
1965,1,4,15615200
1965,1,5,7746160
1965,1,6,1842380
1965,1,7,1884270
1965,1,8,2671000
1965,1,9,1589320
1965,1,10,2056380
1965,1,11,1341380
1965,1,12,3614770
1966,1,1,59226100
1966,1,2,6857580
1966,1,3,9950870
1966,1,4,20447300
1966,1,5,9959280
1966,1,6,5084370
1966,1,7,1130710
1966,1,8,1181550
1966,1,9,1732880
1966,1,10,1057300
1966,1,11,1389870
1966,1,12,3410220
1967,1,1,41531600
1967,1,2,30579400
1967,1,3,3949890
1967,1,4,6022010
1967,1,5,12868900
1967,1,6,6381630
1967,1,7,2995040
1967,1,8,680755
1967,1,9,737717
1967,1,10,1101330
1967,1,11,681154
1967,1,12,3151370
1968,1,1,44864100
1968,1,2,21443500
1968,1,3,17609900
1968,1,4,2385390
1968,1,5,3769180
1968,1,6,8271320
1968,1,7,3843200
1968,1,8,1804230
1968,1,9,422800
1968,1,10,467568
1968,1,11,705473
1968,1,12,2505010
1969,1,1,38640300
1969,1,2,23164100
1969,1,3,12353000
1969,1,4,10673400
1969,1,5,1507950
1969,1,6,2439560
1969,1,7,5106370
1969,1,8,2399160
1969,1,9,1145950
1969,1,10,274004
1969,1,11,307674
1969,1,12,2159490
1970,1,1,26343000
1970,1,2,19950700
1970,1,3,13345200
1970,1,4,7492980
1970,1,5,6755870
1970,1,6,953065
1970,1,7,1459010
1970,1,8,3187320
1970,1,9,1548170
1970,1,10,752807
1970,1,11,183029
1970,1,12,1691770
1971,1,1,29194100
1971,1,2,13601300
1971,1,3,11489600
1971,1,4,8062950
1971,1,5,4690270
1971,1,6,4189270
1971,1,7,548825
1971,1,8,868235
1971,1,9,1966870
1971,1,10,973852
1971,1,11,479460
1971,1,12,1229830
1972,1,1,33909800
1972,1,2,15073400
1972,1,3,7828850
1972,1,4,6903490
1972,1,5,4972770
1972,1,6,2887430
1972,1,7,2329550
1972,1,8,310481
1972,1,9,512169
1972,1,10,1191730
1972,1,11,599147
1972,1,12,1079410
1973,1,1,62764800
1973,1,2,17508200
1973,1,3,8676350
1973,1,4,4705200
1973,1,5,4262230
1973,1,6,3069820
1973,1,7,1594840
1973,1,8,1293850
1973,1,9,179717
1973,1,10,307920
1973,1,11,734788
1973,1,12,1061520
1974,1,1,88499600
1974,1,2,32406500
1974,1,3,10066700
1974,1,4,5154140
1974,1,5,2810430
1974,1,6,2496050
1974,1,7,1631540
1974,1,8,859402
1974,1,9,708185
1974,1,10,100487
1974,1,11,176424
1974,1,12,1057480
1975,1,1,43330100
1975,1,2,45693800
1975,1,3,18621800
1975,1,4,5943520
1975,1,5,3029290
1975,1,6,1634640
1975,1,7,1311390
1975,1,8,884769
1975,1,9,482474
1975,1,10,404554
1975,1,11,58547.4
1975,1,12,744853
1976,1,1,24284200
1976,1,2,22372100
1976,1,3,26305400
1976,1,4,11209200
1976,1,5,3689420
1976,1,6,1921700
1976,1,7,983512
1976,1,8,808279
1976,1,9,562130
1976,1,10,311397
1976,1,11,264030
1976,1,12,544365
1977,1,1,25456400
1977,1,2,12538300
1977,1,3,12884600
1977,1,4,15901500
1977,1,5,7037110
1977,1,6,2370580
1977,1,7,1169900
1977,1,8,611764
1977,1,9,519567
1977,1,10,368819
1977,1,11,206857
1977,1,12,551291
1978,1,1,30047600
1978,1,2,13143500
1978,1,3,7217310
1978,1,4,7745430
1978,1,5,9829490
1978,1,6,4438190
1978,1,7,1332420
1978,1,8,649768
1978,1,9,346055
1978,1,10,299148
1978,1,11,215424
1978,1,12,453592
1979,1,1,37962300
1979,1,2,15514100
1979,1,3,7563220
1979,1,4,4323910
1979,1,5,4742760
1979,1,6,6136430
1979,1,7,2552950
1979,1,8,760654
1979,1,9,381091
1979,1,10,207999
1979,1,11,183326
1979,1,12,420658
1980,1,1,54017000
1980,1,2,19600600
1980,1,3,8929180
1980,1,4,4541100
1980,1,5,2663490
1980,1,6,2983220
1980,1,7,3761440
1980,1,8,1582420
1980,1,9,471977
