age,year,area,f
1,1952,1,0.00017730142
2,1952,1,0.0012381464
3,1952,1,0.021088442
4,1952,1,0.062182295
5,1952,1,0.044084481
6,1952,1,0.026128898
7,1952,1,0.024548768
8,1952,1,0.028904241
9,1952,1,0.031855321
10,1952,1,0.031479231
11,1952,1,0.028995233
12,1952,1,0.026326443
13,1952,1,0.024391228
14,1952,1,0.023067204
15,1952,1,0.0220461
16,1952,1,0.021195826
17,1952,1,0.02047459
18,1952,1,0.019866013
19,1952,1,0.019358144
20,1952,1,0.018939001
21,1952,1,0.018596508
22,1952,1,0.018319115
23,1952,1,0.01809627
24,1952,1,0.017918647
25,1952,1,0.017778192
26,1952,1,0.017667995
27,1952,1,0.017582262
28,1952,1,0.017516237
29,1952,1,0.017465996
30,1952,1,0.017428315
31,1952,1,0.017400567
32,1952,1,0.017380622
33,1952,1,0.017366757
34,1952,1,0.017357593
35,1952,1,0.017352026
36,1952,1,0.01734918
37,1952,1,0.017348359
38,1952,1,0.017348359
39,1952,1,0.017348359
40,1952,1,0.017348359
1,1953,1,0.00015131566
2,1953,1,0.0010685565
3,1953,1,0.018846516
4,1953,1,0.058697376
5,1953,1,0.043836916
6,1953,1,0.026318069
7,1953,1,0.023961696
8,1953,1,0.027491399
9,1953,1,0.029736759
10,1953,1,0.028747596
11,1953,1,0.025772542
12,1953,1,0.022816935
13,1953,1,0.0208072726
14,1953,1,0.0195365113
15,1953,1,0.018617461
16,1953,1,0.0178783552
17,1953,1,0.0172612714
18,1953,1,0.016744272
19,1953,1,0.0163142852
20,1953,1,0.0159600417
21,1953,1,0.0156708668
22,1953,1,0.0154368058
23,1953,1,0.0152488571
24,1953,1,0.0150991093
25,1953,1,0.0149807421
26,1953,1,0.0148878957
27,1953,1,0.0148156619
28,1953,1,0.0147600328
29,1953,1,0.0147177018
30,1953,1,0.0146859532
31,1953,1,0.0146625748
32,1953,1,0.0146457698
33,1953,1,0.0146340889
34,1953,1,0.0146263671
35,1953,1,0.0146216782
36,1953,1,0.014619278
37,1953,1,0.0146185879
38,1953,1,0.0146185879
39,1953,1,0.0146185879
40,1953,1,0.0146185879
1,1954,1,0.000125686628
2,1954,1,0.00089645394
3,1954,1,0.016312809
4,1954,1,0.053202908
5,1954,1,0.041598443
6,1954,1,0.026072362
7,1954,1,0.024580755
8,1954,1,0.028713099
9,1954,1,0.031383339
10,1954,1,0.030604774
11,1954,1,0.027660124
12,1954,1,0.024641537
13,1954,1,0.022548589
14,1954,1,0.021201415
15,1954,1,0.020214693
16,1954,1,0.019416072
17,1954,1,0.018747456
18,1954,1,0.018186616
19,1954,1,0.01771991
20,1954,1,0.0173353097
21,1954,1,0.0170213077
22,1954,1,0.0167671238
23,1954,1,0.0165630055
24,1954,1,0.0164003643
25,1954,1,0.0162717994
26,1954,1,0.0161709474
27,1954,1,0.0160924873
28,1954,1,0.0160320635
29,1954,1,0.0159860834
30,1954,1,0.0159516004
31,1954,1,0.0159262056
32,1954,1,0.015907951
33,1954,1,0.0158952631
34,1954,1,0.0158868769
35,1954,1,0.0158817811
36,1954,1,0.0158791768
37,1954,1,0.0158784261
38,1954,1,0.0158784261
39,1954,1,0.0158784261
40,1954,1,0.0158784261
1,1955,1,0.000173088968
2,1955,1,0.00124732695
3,1955,1,0.023351161
4,1955,1,0.079048645
5,1955,1,0.063346288
6,1955,1,0.038827026
7,1955,1,0.034270337
8,1955,1,0.038200504
9,1955,1,0.040409883
10,1955,1,0.037987455
11,1955,1,0.032818989
12,1955,1,0.027998165
13,1955,1,0.0249118193
14,1955,1,0.0231217543
15,1955,1,0.0219299788
16,1955,1,0.0210187836
17,1955,1,0.0202764455
18,1955,1,0.0196615323
19,1955,1,0.0191529102
20,1955,1,0.0187350781
21,1955,1,0.0183945525
22,1955,1,0.0181192129
23,1955,1,0.0178982877
24,1955,1,0.0177223769
25,1955,1,0.0175834221
26,1955,1,0.0174744656
27,1955,1,0.0173896966
28,1955,1,0.0173244174
29,1955,1,0.017274741
30,1955,1,0.0172374843
31,1955,1,0.0172100493
32,1955,1,0.017190328
33,1955,1,0.0171766203
34,1955,1,0.0171675594
35,1955,1,0.0171620554
36,1955,1,0.0171592406
37,1955,1,0.0171584299
38,1955,1,0.0171584299
39,1955,1,0.0171584299
40,1955,1,0.0171584299
1,1956,1,0.0001924304
2,1956,1,0.00135655976
3,1956,1,0.023835671
4,1956,1,0.073896236
5,1956,1,0.055339316
6,1956,1,0.034503401
7,1956,1,0.033552215
8,1956,1,0.040108225
9,1956,1,0.044546374
10,1956,1,0.044242229
11,1956,1,0.04087891
12,1956,1,0.0371683196
13,1956,1,0.0344471574
14,1956,1,0.0325766697
15,1956,1,0.0311329862
16,1956,1,0.0299312253
17,1956,1,0.0289122159
18,1956,1,0.0280525703
19,1956,1,0.0273352661
20,1956,1,0.0267433239
21,1956,1,0.0262596453
22,1956,1,0.0258679273
23,1956,1,0.0255532362
24,1956,1,0.0253024099
25,1956,1,0.0251040783
26,1956,1,0.0249484723
27,1956,1,0.0248274098
28,1956,1,0.0247341876
29,1956,1,0.0246632359
30,1956,1,0.0246100299
31,1956,1,0.024570847
32,1956,1,0.0245426856
33,1956,1,0.0245231084
34,1956,1,0.024510172
35,1956,1,0.024502311
36,1956,1,0.0244982869
37,1956,1,0.0244971328
38,1956,1,0.0244971328
39,1956,1,0.0244971328
40,1956,1,0.0244971328
1,1957,1,0.000140996834
2,1957,1,0.00102302406
3,1957,1,0.0195752708
4,1957,1,0.0682579829
5,1957,1,0.0565300322
6,1957,1,0.036864318
7,1957,1,0.035474879
8,1957,1,0.041768989
9,1957,1,0.04582014
10,1957,1,0.04475197
11,1957,1,0.040437407
12,1957,1,0.035978141
13,1957,1,0.032881876
14,1957,1,0.030896095
15,1957,1,0.0294489436
16,1957,1,0.0282816435
17,1957,1,0.0273060356
18,1957,1,0.0264883705
19,1957,1,0.0258082301
20,1957,1,0.0252478671
21,1957,1,0.0247904301
22,1957,1,0.0244201581
23,1957,1,0.02412284
24,1957,1,0.0238859491
25,1957,1,0.0236987066
26,1957,1,0.0235518181
27,1957,1,0.0234375497
28,1957,1,0.0233495514
29,1957,1,0.0232825862
30,1957,1,0.0232323637
31,1957,1,0.0231953777
32,1957,1,0.0231687954
33,1957,1,0.0231503178
34,1957,1,0.0231381049
35,1957,1,0.0231306775
36,1957,1,0.0231268896
37,1957,1,0.0231257959
38,1957,1,0.0231257959
39,1957,1,0.0231257959
40,1957,1,0.0231257959
1,1958,1,0.000190100606
2,1958,1,0.00138017278
3,1958,1,0.0264120492
4,1958,1,0.0920103887
5,1958,1,0.075692213
6,1958,1,0.047802598
7,1958,1,0.043636171
8,1958,1,0.049668853
9,1958,1,0.053273696
10,1958,1,0.050796677
11,1958,1,0.044614564
12,1958,1,0.038655394
13,1958,1,0.034738194
14,1958,1,0.032389598
15,1958,1,0.030776612
16,1958,1,0.029519593
17,1958,1,0.028485977
18,1958,1,0.027626105
19,1958,1,0.026913393
20,1958,1,0.026327282
21,1958,1,0.025849321
22,1958,1,0.025462704
23,1958,1,0.025152401
24,1958,1,0.024905279
25,1958,1,0.024710018
26,1958,1,0.024556886
27,1958,1,0.024437755
28,1958,1,0.024346003
29,1958,1,0.024276196
30,1958,1,0.024223832
31,1958,1,0.024185274
32,1958,1,0.024157554
33,1958,1,0.024138291
34,1958,1,0.02412556
35,1958,1,0.024117824
36,1958,1,0.02411387
37,1958,1,0.024112729
38,1958,1,0.024112729
39,1958,1,0.024112729
40,1958,1,0.024112729
1,1959,1,6.7648418e-05
2,1959,1,0.0004884452
3,1959,1,0.00932108153
4,1959,1,0.0326262322
5,1959,1,0.0281650273
6,1959,1,0.02201156
7,1959,1,0.026738587
8,1959,1,0.035502642
9,1959,1,0.041798427
10,1959,1,0.0437311
11,1959,1,0.042540189
12,1959,1,0.040296747
13,1959,1,0.038219891
14,1959,1,0.036502351
15,1959,1,0.035018515
16,1959,1,0.033717814
17,1959,1,0.032590767
18,1959,1,0.03163106
19,1959,1,0.030826769
20,1959,1,0.03016158
21,1959,1,0.029617375
22,1959,1,0.02917627
23,1959,1,0.028821725
24,1959,1,0.028538996
25,1959,1,0.028315317
26,1959,1,0.028139781
27,1959,1,0.028003223
28,1959,1,0.027898053
29,1959,1,0.027818021
30,1959,1,0.027757995
31,1959,1,0.027713795
32,1959,1,0.027682018
33,1959,1,0.027659941
34,1959,1,0.027645346
35,1959,1,0.027636471
36,1959,1,0.027631942
37,1959,1,0.027630629
38,1959,1,0.027630629
39,1959,1,0.027630629
40,1959,1,0.027630629
1,1960,1,9.5368502e-05
2,1960,1,0.00068246394
3,1960,1,0.012724381
4,1960,1,0.043312127
5,1960,1,0.037003458
6,1960,1,0.030086683
