year,season,area,age,n
1952,1,1,1,10912800
1952,1,1,2,6430980
1952,1,1,3,4455170
1952,1,1,4,3075310
1952,1,1,5,2575220
1952,1,1,6,2138130
1952,1,1,7,1789880
1952,1,1,8,1373780
1952,1,1,9,1223030
1952,1,1,10,1079410
1952,1,1,11,957936
1952,1,1,12,759876
1952,1,1,13,687529
1952,1,1,14,624520
1952,1,1,15,573089
1952,1,1,16,462013
1952,1,1,17,420058
1952,1,1,18,388332
1952,1,1,19,364507
1952,1,1,20,296672
1952,1,1,21,269984
1952,1,1,22,252559
1952,1,1,23,240910
1952,1,1,24,197288
1952,1,1,25,179451
1952,1,1,26,169253
1952,1,1,27,163327
1952,1,1,28,134319
1952,1,1,29,122060
1952,1,1,30,115788
1952,1,1,31,112669
1952,1,1,32,92938.7
1952,1,1,33,84371.6
1952,1,1,34,80360.1
1952,1,1,35,78663.6
1952,1,1,36,65034.9
1952,1,1,37,58986.2
1952,1,1,38,56340.2
1952,1,1,39,55386.7
1952,1,1,40,272014
1953,1,1,1,10912800
1953,1,1,2,6431460
1953,1,1,3,4455180
1953,1,1,4,3067390
1953,1,1,5,2632140
1953,1,1,6,2155490
1953,1,1,7,1765430
1953,1,1,8,1362930
1953,1,1,9,1228000
1953,1,1,10,1086130
1953,1,1,11,961296
1953,1,1,12,761040
1953,1,1,13,688926
1953,1,1,14,626812
1953,1,1,15,576092
1953,1,1,16,465023
1953,1,1,17,423310
1953,1,1,18,391601
1953,1,1,19,367713
1953,1,1,20,299414
1953,1,1,21,272663
1953,1,1,22,255144
1953,1,1,23,243396
1953,1,1,24,199348
1953,1,1,25,181390
1953,1,1,26,171097
1953,1,1,27,165095
1953,1,1,28,135765
1953,1,1,29,123397
1953,1,1,30,117056
1953,1,1,31,113890
1953,1,1,32,93933.1
1953,1,1,33,85282.8
1953,1,1,34,81225.9
1953,1,1,35,79502.3
1953,1,1,36,65717.4
1953,1,1,37,59608.9
1953,1,1,38,56933.6
1953,1,1,39,55964.8
1953,1,1,40,356355
1954,1,1,1,2209310
1954,1,1,2,33619900
1954,1,1,3,367226
1954,1,1,4,157959
1954,1,1,5,2557200
1954,1,1,6,2095370
1954,1,1,7,1713290
1954,1,1,8,1321400
1954,1,1,9,1213040
1954,1,1,10,1061200
1954,1,1,11,923088
1954,1,1,12,734457
1954,1,1,13,671252
1954,1,1,14,611909
1954,1,1,15,561274
1954,1,1,16,452253
1954,1,1,17,411633
1954,1,1,18,381297
1954,1,1,19,358578
1954,1,1,20,292313
1954,1,1,21,266429
1954,1,1,22,249496
1954,1,1,23,238165
1954,1,1,24,195185
1954,1,1,25,177694
1954,1,1,26,167683
1954,1,1,27,161858
1954,1,1,28,133147
1954,1,1,29,121047
1954,1,1,30,114848
1954,1,1,31,111758
1954,1,1,32,92189.2
1954,1,1,33,83707.9
1954,1,1,34,79731.3
1954,1,1,35,78043.6
1954,1,1,36,64516.5
1954,1,1,37,58521.7
1954,1,1,38,55896.2
1954,1,1,39,54946
1954,1,1,40,410286
1955,1,1,1,1749990
1955,1,1,2,23369200
1955,1,1,3,384271
1955,1,1,4,560671
1955,1,1,5,480382
1955,1,1,6,11532100
1955,1,1,7,124897
1955,1,1,8,61450.1
1955,1,1,9,1186240
1955,1,1,10,1038300
1955,1,1,11,902092
1955,1,1,12,717104
1955,1,1,13,663818
1955,1,1,14,599832
1955,1,1,15,542771
1955,1,1,16,439208
1955,1,1,17,402791
1955,1,1,18,373677
1955,1,1,19,350827
1955,1,1,20,285478
1955,1,1,21,260052
1955,1,1,22,243771
1955,1,1,23,233018
1955,1,1,24,191148
1955,1,1,25,174135
1955,1,1,26,164451
1955,1,1,27,158864
1955,1,1,28,130765
1955,1,1,29,118935
1955,1,1,30,112900
1955,1,1,31,109914
1955,1,1,32,90699.5
1955,1,1,33,82371.7
1955,1,1,34,78477.4
1955,1,1,35,76834.6
1955,1,1,36,63528.1
1955,1,1,37,57629.1
1955,1,1,38,55049.6
1955,1,1,39,54120.4
1955,1,1,40,448403
1956,1,1,1,1987090
1956,1,1,2,526435
1956,1,1,3,225828
1956,1,1,4,14188400
1956,1,1,5,377423
1956,1,1,6,7852050
1956,1,1,7,127784
1956,1,1,8,215366
1956,1,1,9,202674
1956,1,1,10,5897370
1956,1,1,11,57485.2
1956,1,1,12,29961.1
1956,1,1,13,648792
1956,1,1,14,587597
1956,1,1,15,532054
1956,1,1,16,430633
1956,1,1,17,398267
1956,1,1,18,366936
1956,1,1,19,340812
1956,1,1,20,278333
1956,1,1,21,255081
1956,1,1,22,239383
1956,1,1,23,228472
1956,1,1,24,187076
1956,1,1,25,170282
1956,1,1,26,160929
1956,1,1,27,155641
1956,1,1,28,128212
1956,1,1,29,116677
1956,1,1,30,110840
1956,1,1,31,107997
1956,1,1,32,89172.3
1956,1,1,33,81018.9
1956,1,1,34,77228
1956,1,1,35,75649.6
1956,1,1,36,62570
1956,1,1,37,56770.4
1956,1,1,38,54243.3
1956,1,1,39,53341.8
1956,1,1,40,474223
1957,1,1,1,3730430
1957,1,1,2,600004
1957,1,1,3,223633
1957,1,1,4,14254800
1957,1,1,5,440758
1957,1,1,6,156848
1957,1,1,7,76102.6
1957,1,1,8,5274390
1957,1,1,9,158673
1957,1,1,10,3981830
1957,1,1,11,59120.1
1957,1,1,12,105761
1957,1,1,13,101966
1957,1,1,14,3436580
1957,1,1,15,29947.3
1957,1,1,16,16354.4
1957,1,1,17,388639
1957,1,1,18,358773
1957,1,1,19,333526
1957,1,1,20,272532
1957,1,1,21,250946
1957,1,1,22,234245
1957,1,1,23,221680
1957,1,1,24,182092
1957,1,1,25,166563
1957,1,1,26,157554
1957,1,1,27,152164
1957,1,1,28,125120
1957,1,1,29,113745
1957,1,1,30,108112
