sex,year,age,f
1,1995,0,0.014247
2,1995,0,0.014237
1,1996,0,0.008711
2,1996,0,0.00870499999999999
1,1997,0,0.010871
2,1997,0,0.010863
1,1998,0,0.013805
2,1998,0,0.013795
1,1999,0,0.020557
2,1999,0,0.020541
1,2000,0,0.014848
2,2000,0,0.014837
1,2001,0,0.015641
2,2001,0,0.015628
1,2002,0,0.018754
2,2002,0,0.01874
1,2003,0,0.018097
2,2003,0,0.018084
1,2004,0,0.02673
2,2004,0,0.02671
1,2005,0,0.018293
2,2005,0,0.01828
1,2006,0,0.018683
2,2006,0,0.018669
1,2007,0,0.014431
2,2007,0,0.01442
1,2008,0,0.019638
2,2008,0,0.019623
1,2009,0,0.018596
2,2009,0,0.018582
1,2010,0,0.02041
2,2010,0,0.020395
1,2011,0,0.014328
2,2011,0,0.014318
1,2012,0,0.020452
2,2012,0,0.020438
1,2013,0,0.016845
2,2013,0,0.016833
1,2014,0,0.018194
2,2014,0,0.01818
1,2015,0,0.01507
2,2015,0,0.015059
1,2016,0,0.013681
2,2016,0,0.013671
1,2017,0,0.00864299999999998
2,2017,0,0.00863599999999998
1,2018,0,0.00877999999999998
2,2018,0,0.00877399999999998
1,2019,0,0.011326
2,2019,0,0.011318
1,2020,0,0.00888599999999998
2,2020,0,0.00888
1,2021,0,0.010436
2,2021,0,0.010428
1,2022,0,0.00965999999999997
2,2022,0,0.00965299999999999
1,2023,0,0.00644399999999998
2,2023,0,0.006439
1,1995,1,0.033766
2,1995,1,0.033691
1,1996,1,0.021022
2,1996,1,0.020976
1,1997,1,0.025836
2,1997,1,0.02578
1,1998,1,0.033683
2,1998,1,0.033609
1,1999,1,0.05053
2,1999,1,0.050418
1,2000,1,0.035824
2,2000,1,0.035744
1,2001,1,0.038254
2,2001,1,0.038169
1,2002,1,0.044911
2,2002,1,0.044812
1,2003,1,0.043504
2,2003,1,0.043408
1,2004,1,0.064228
2,2004,1,0.064085
1,2005,1,0.043857
2,2005,1,0.04376
1,2006,1,0.044485
2,2006,1,0.044387
1,2007,1,0.034447
2,2007,1,0.034371
1,2008,1,0.046976
2,2008,1,0.046872
1,2009,1,0.044094
2,2009,1,0.043996
1,2010,1,0.048414
2,2010,1,0.048308
1,2011,1,0.034105
2,2011,1,0.03403
1,2012,1,0.048486
2,2012,1,0.04838
1,2013,1,0.039888
2,2013,1,0.039801
1,2014,1,0.043178
2,2014,1,0.043083
1,2015,1,0.035602
2,2015,1,0.035524
1,2016,1,0.032474
2,2016,1,0.032404
1,2017,1,0.020438
2,2017,1,0.020394
1,2018,1,0.021199
2,2018,1,0.021153
1,2019,1,0.027097
2,2019,1,0.027039
1,2020,1,0.0214
2,2020,1,0.021353
1,2021,1,0.024919
2,2021,1,0.024865
1,2022,1,0.023497
2,2022,1,0.023446
1,2023,1,0.015401
2,2023,1,0.015367
1,1995,2,0.069332
2,1995,2,0.069138
1,1996,2,0.04307
2,1996,2,0.04296
1,1997,2,0.052738
2,1997,2,0.052599
1,1998,2,0.069155
2,1998,2,0.068981
1,1999,2,0.103993
2,1999,2,0.103733
1,2000,2,0.0736
2,2000,2,0.073407
1,2001,2,0.078704
2,2001,2,0.078505
1,2002,2,0.092226
2,2002,2,0.091977
1,2003,2,0.08939
2,2003,2,0.089151
1,2004,2,0.131974
2,2004,2,0.13162
1,2005,2,0.089993
2,2005,2,0.089753
1,2006,2,0.091303
2,2006,2,0.091053
1,2007,2,0.070684
2,2007,2,0.070493
1,2008,2,0.096464
2,2008,2,0.096203
1,2009,2,0.090493
2,2009,2,0.090242
1,2010,2,0.099277
2,2010,2,0.099004
1,2011,2,0.069745
2,2011,2,0.069559
1,2012,2,0.099334
2,2012,2,0.099062
1,2013,2,0.081576
2,2013,2,0.081355
1,2014,2,0.08835
2,2014,2,0.088111
1,2015,2,0.072708
2,2015,2,0.072511
1,2016,2,0.066326
2,2016,2,0.06615
1,2017,2,0.0414
2,2017,2,0.041296
1,2018,2,0.04318
2,2018,2,0.043075
1,2019,2,0.055167
2,2019,2,0.055028
1,2020,2,0.043619
2,2020,2,0.043511
1,2021,2,0.050943
2,2021,2,0.050809
1,2022,2,0.04786
2,2022,2,0.047747
1,2023,2,0.031631
2,2023,2,0.031545
1,1995,3,0.118827
2,1995,3,0.118574
1,1996,3,0.072861
2,1996,3,0.072724
