sex,year,age,n
1,1995,0,78.6524
1,1996,0,77.7652
1,1997,0,81.0829
1,1998,0,79.7305
1,1999,0,74.5974
1,2000,0,62.9295
1,2001,0,57.5167
1,2002,0,52.2127
1,2003,0,46.7459
1,2004,0,44.2357
1,2005,0,37.2254
1,2006,0,35.7229
1,2007,0,33.4308
1,2008,0,33.2979
1,2009,0,29.3832
1,2010,0,26.5408
1,2011,0,23.1369
1,2012,0,22.5545
1,2013,0,19.9512
1,2014,0,19.3643
1,2015,0,18.7007
1,2016,0,18.7195
1,2017,0,18.7047
1,2018,0,20.3973
1,2019,0,21.8108
1,2020,0,21.7493
1,2021,0,22.4885
1,2022,0,22.4965
1,2023,0,22.5513
2,1995,0,78.6524
2,1996,0,77.7652
2,1997,0,81.0829
2,1998,0,79.7305
2,1999,0,74.5974
2,2000,0,62.9295
2,2001,0,57.5167
2,2002,0,52.2127
2,2003,0,46.7459
2,2004,0,44.2357
2,2005,0,37.2254
2,2006,0,35.7229
2,2007,0,33.4308
2,2008,0,33.2979
2,2009,0,29.3832
2,2010,0,26.5408
2,2011,0,23.1369
2,2012,0,22.5545
2,2013,0,19.9512
2,2014,0,19.3643
2,2015,0,18.7007
2,2016,0,18.7195
2,2017,0,18.7047
2,2018,0,20.3973
2,2019,0,21.8108
2,2020,0,21.7493
2,2021,0,22.4885
2,2022,0,22.4965
2,2023,0,22.5513
1,1995,1,79.2236
1,1996,1,67.949
1,1997,1,67.5555
1,1998,1,70.2856
1,1999,1,68.9108
1,2000,1,64.0405
1,2001,1,54.3331
1,2002,1,49.6204
1,2003,1,44.9045
1,2004,1,40.2293
1,2005,1,37.7418
1,2006,1,32.0298
1,2007,1,30.7249
1,2008,1,28.8761
1,2009,1,28.6119
1,2010,1,25.2744
1,2011,1,22.7881
1,2012,1,19.9867
1,2013,1,19.3646
1,2014,1,17.1914
1,2015,1,16.6632
1,2016,1,16.1426
1,2017,1,16.1812
1,2018,1,16.2501
1,2019,1,17.7181
1,2020,1,18.8978
1,2021,1,18.8905
1,2022,1,19.5023
1,2023,1,19.5244
2,1995,1,79.2243
2,1996,1,67.9497
2,1997,1,67.5559
2,1998,1,70.2861
2,1999,1,68.9115
2,2000,1,64.0415
2,2001,1,54.3337
2,2002,1,49.621
2,2003,1,44.9051
2,2004,1,40.2299
2,2005,1,37.7426
2,2006,1,32.0302
2,2007,1,30.7253
2,2008,1,28.8764
2,2009,1,28.6123
2,2010,1,25.2747
2,2011,1,22.7884
2,2012,1,19.9869
2,2013,1,19.3649
2,2014,1,17.1916
2,2015,1,16.6634
2,2016,1,16.1427
2,2017,1,16.1814
2,2018,1,16.2502
2,2019,1,17.7182
2,2020,1,18.898
2,2021,1,18.8906
2,2022,1,19.5024
2,2023,1,19.5246
1,1995,2,64.6612
1,1996,2,67.1194
1,1997,2,58.3058
1,1998,2,57.6897
1,1999,2,59.552
1,2000,2,57.4117
1,2001,2,54.1445
1,2002,2,45.8257
1,2003,2,41.5732
1,2004,2,37.6751
1,2005,2,33.0603
1,2006,2,31.6544
1,2007,2,26.8468
1,2008,2,26.0129
1,2009,2,24.1432
1,2010,2,23.9914
