age,year,area,f
1,1972,1,0.044059195
2,1972,1,0.32574799
3,1972,1,0.27599993
4,1972,1,0.19366831
5,1972,1,0.11167563
6,1972,1,0.082454622
7,1972,1,0.070626968
8,1972,1,0.065310539
9,1972,1,0.063141874
10,1972,1,0.061960289
11,1972,1,0.061686771
12,1972,1,0.06173652
13,1972,1,0.061781537
14,1972,1,0.061867611
15,1972,1,0.061871256
16,1972,1,0.062064136
1,1973,1,0.079258724
2,1973,1,0.59360703
3,1973,1,0.50028056
4,1973,1,0.35064813
5,1973,1,0.20184065
6,1973,1,0.1488739
7,1973,1,0.12744109
8,1973,1,0.117804885
9,1973,1,0.113867331
10,1973,1,0.111718284
11,1973,1,0.111212039
12,1973,1,0.111290792
13,1973,1,0.111364994
14,1973,1,0.111514884
15,1973,1,0.111516689
16,1973,1,0.111858233
1,1974,1,0.111493891
2,1974,1,0.8576125
3,1974,1,0.71495957
4,1974,1,0.49994817
5,1974,1,0.28673546
6,1974,1,0.21103857
7,1974,1,0.180426694
8,1974,1,0.166656627
9,1974,1,0.161009929
10,1974,1,0.157917283
11,1974,1,0.157163038
12,1974,1,0.157241873
13,1974,1,0.15732617
14,1974,1,0.157522375
15,1974,1,0.15751074
16,1974,1,0.157975173
1,1975,1,0.072186668
2,1975,1,0.56709357
3,1975,1,0.46877502
4,1975,1,0.3271961
5,1975,1,0.18711642
6,1975,1,0.137483875
7,1975,1,0.117422056
8,1975,1,0.108394104
9,1975,1,0.104681715
10,1975,1,0.102642868
11,1975,1,0.102132474
12,1975,1,0.102166837
13,1975,1,0.102210881
14,1975,1,0.102330183
15,1975,1,0.10231526
16,1975,1,0.102607546
1,1976,1,0.123969306
2,1976,1,0.93787265
3,1976,1,0.78716352
4,1976,1,0.55123825
5,1976,1,0.31686916
6,1976,1,0.233528403
7,1976,1,0.199812654
8,1976,1,0.184651117
9,1976,1,0.178447491
10,1976,1,0.175057159
11,1976,1,0.174247777
12,1976,1,0.174357658
13,1976,1,0.174465363
14,1976,1,0.174693629
15,1976,1,0.174690568
16,1976,1,0.175218175
1,1977,1,0.11667752
2,1977,1,0.90701113
3,1977,1,0.75292939
4,1977,1,0.52601369
5,1977,1,0.30124972
6,1977,1,0.221532267
7,1977,1,0.189302107
8,1977,1,0.174801298
9,1977,1,0.168846619
10,1977,1,0.165580744
11,1977,1,0.1647737
12,1977,1,0.16484282
13,1977,1,0.164922531
14,1977,1,0.165121598
15,1977,1,0.165103479
16,1977,1,0.165582692
1,1978,1,0.172595528
2,1978,1,1.3486886
3,1978,1,1.11724318
4,1978,1,0.78017762
5,1978,1,0.44649266
6,1978,1,0.32820253
7,1978,1,0.280383
8,1978,1,0.25886613
9,1978,1,0.25002437
10,1978,1,0.24517177
11,1978,1,0.24396486
12,1978,1,0.24405718
13,1978,1,0.24416898
14,1978,1,0.24445887
15,1978,1,0.24442767
16,1978,1,0.2451317
1,1979,1,0.1402255
2,1979,1,1.12279739
3,1979,1,0.92113749
4,1979,1,0.64186987
5,1979,1,0.36611373
6,1979,1,0.26858526
7,1979,1,0.229180514
8,1979,1,0.211441844
9,1979,1,0.204129254
10,1979,1,0.200103372
11,1979,1,0.199072412
12,1979,1,0.19910919
13,1979,1,0.199175906
14,1979,1,0.1993938
15,1979,1,0.199351585
16,1979,1,0.199904318
1,1980,1,0.153983911
2,1980,1,1.19688945
3,1980,1,0.99360646
4,1980,1,0.69416269
5,1980,1,0.39755498
6,1980,1,0.29235554
7,1980,1,0.249822806
8,1980,1,0.23068673
9,1980,1,0.222828725
10,1980,1,0.218519065
11,1980,1,0.217454136
12,1980,1,0.217545496
13,1980,1,0.21765087
14,1980,1,0.217913682
15,1980,1,0.217889904
16,1980,1,0.218522421
1,1981,1,0.149767175
2,1981,1,1.06908101
3,1981,1,0.91921546
4,1981,1,0.64700453
5,1981,1,0.37486496
