year,season,area,age,n
1972,1,1,1,74823800
1972,1,1,2,1071680
1972,1,1,3,2012950
1972,1,1,4,2851830
1972,1,1,5,6499030
1972,1,1,6,1252340
1972,1,1,7,633845
1972,1,1,8,784915
1972,1,1,9,1652260
1972,1,1,10,468798
1972,1,1,11,230308
1972,1,1,12,232456
1972,1,1,13,427369
1972,1,1,14,180120
1972,1,1,15,88724.7
1972,1,1,16,18608.8
1973,1,1,1,74823800
1973,1,1,2,1082160
1973,1,1,3,1938020
1973,1,1,4,2604600
1973,1,1,5,6847160
1973,1,1,6,1061620
1973,1,1,7,685350
1973,1,1,8,923298
1973,1,1,9,2035450
1973,1,1,10,523441
1973,1,1,11,262154
1973,1,1,12,279612
1973,1,1,13,533885
1973,1,1,14,207277
1973,1,1,15,101493
1973,1,1,16,372356
1974,1,1,1,44527.7
1974,1,1,2,2747390
1974,1,1,3,4142210
1974,1,1,4,2012460
1974,1,1,5,5334170
1974,1,1,6,1093390
1974,1,1,7,569354
1974,1,1,8,715998
1974,1,1,9,1562420
1974,1,1,10,421607
1974,1,1,11,216894
1974,1,1,12,226922
1974,1,1,13,422457
1974,1,1,14,173282
1974,1,1,15,85739.8
1974,1,1,16,397695
1975,1,1,1,3075740
1975,1,1,2,12645300
1975,1,1,3,6735990
1975,1,1,4,144645
1975,1,1,5,6203220
1975,1,1,6,1541200
1975,1,1,7,1274220
1975,1,1,8,905913
1975,1,1,9,1469590
1975,1,1,10,440408
1975,1,1,11,217799
1975,1,1,12,218078
1975,1,1,13,406300
1975,1,1,14,169667
1975,1,1,15,83004.4
1975,1,1,16,415716
1976,1,1,1,134170000
1976,1,1,2,2015050
1976,1,1,3,12681200
1976,1,1,4,894080
1976,1,1,5,5133490
1976,1,1,6,782878
1976,1,1,7,421945
1976,1,1,8,60219.1
1976,1,1,9,1694330
1976,1,1,10,648078
1976,1,1,11,535066
1976,1,1,12,382114
1976,1,1,13,396900
1976,1,1,14,174978
1976,1,1,15,86118.3
1976,1,1,16,430913
1977,1,1,1,220419000
1977,1,1,2,516960
1977,1,1,3,969175
1977,1,1,4,2522650
1977,1,1,5,3448200
1977,1,1,6,1362180
1977,1,1,7,1318030
1977,1,1,8,345641
1977,1,1,9,1354750
1977,1,1,10,283351
1977,1,1,11,98707.6
1977,1,1,12,27194.1
1977,1,1,13,418860
1977,1,1,14,252011
1977,1,1,15,217155
1977,1,1,16,496163
1978,1,1,1,270582000
1978,1,1,2,792540
1978,1,1,3,4495910
1978,1,1,4,928028
1978,1,1,5,3662640
1978,1,1,6,1471620
1978,1,1,7,184606
1978,1,1,8,637116
1978,1,1,9,550737
1978,1,1,10,523156
1978,1,1,11,519264
1978,1,1,12,133404
1978,1,1,13,369918
1978,1,1,14,110775
1978,1,1,15,31378.7
1978,1,1,16,486579
1979,1,1,1,4639810
1979,1,1,2,4389820
1979,1,1,3,5103010
1979,1,1,4,809359
1979,1,1,5,4714070
1979,1,1,6,2794570
1979,1,1,7,466438
1979,1,1,8,232485
1979,1,1,9,684186
1979,1,1,10,580657
1979,1,1,11,74200.5
1979,1,1,12,166125
1979,1,1,13,147992
1979,1,1,14,186810
1979,1,1,15,209143
1979,1,1,16,377525
1980,1,1,1,182440000
1980,1,1,2,377578
1980,1,1,3,815734
1980,1,1,4,1518020
1980,1,1,5,3438170
1980,1,1,6,1754470
1980,1,1,7,736270
1980,1,1,8,180473
1980,1,1,9,1023050
1980,1,1,10,1012340
1980,1,1,11,149993
1980,1,1,12,65763.9
1980,1,1,13,171253
1980,1,1,14,206344
1980,1,1,15,32584
1980,1,1,16,383069
1981,1,1,1,152157000
1981,1,1,2,53894.2
1981,1,1,3,267250
1981,1,1,4,2390900
1981,1,1,5,2661540
1981,1,1,6,1526850
1981,1,1,7,242087
1981,1,1,8,163046
1981,1,1,9,557329
1981,1,1,10,672159
1981,1,1,11,315929
1981,1,1,12,54775.4
1981,1,1,13,260118
1981,1,1,14,319438
1981,1,1,15,53513.8
1981,1,1,16,285790
1982,1,1,1,230224000
1982,1,1,2,985202
1982,1,1,3,1190300
1982,1,1,4,3052320
1982,1,1,5,3050340
1982,1,1,6,477219
1982,1,1,7,118693
1982,1,1,8,611928
1982,1,1,9,430450
1982,1,1,10,607329
1982,1,1,11,130586
1982,1,1,12,42906.6
1982,1,1,13,146696
1982,1,1,14,243275
1982,1,1,15,133890
1982,1,1,16,330235
1983,1,1,1,122347000
1983,1,1,2,539695
1983,1,1,3,2151990
1983,1,1,4,1885940
1983,1,1,5,3184780
1983,1,1,6,550700
1983,1,1,7,201116
1983,1,1,8,647289
1983,1,1,9,832006
1983,1,1,10,258231
1983,1,1,11,61754
1983,1,1,12,156376
1983,1,1,13,97383.7
1983,1,1,14,213435
1983,1,1,15,56957
1983,1,1,16,314085
1984,1,1,1,1917540
1984,1,1,2,276495
1984,1,1,3,2948900
1984,1,1,4,3222180
1984,1,1,5,2946720
1984,1,1,6,1999000
1984,1,1,7,301227
1984,1,1,8,471726
1984,1,1,9,672635
1984,1,1,10,283465
1984,1,1,11,69682.1
1984,1,1,12,155505
1984,1,1,13,264382
1984,1,1,14,112173
1984,1,1,15,26845.5
1984,1,1,16,278713
1985,1,1,1,86627100
1985,1,1,2,7476890
1985,1,1,3,3229010
1985,1,1,4,270674
1985,1,1,5,4788580
1985,1,1,6,1063890
1985,1,1,7,679726
1985,1,1,8,711371
1985,1,1,9,612052
1985,1,1,10,671989
1985,1,1,11,88039.1
1985,1,1,12,112567
1985,1,1,13,200269
1985,1,1,14,119655
1985,1,1,15,24780.8
1985,1,1,16,269871
1986,1,1,1,256994000
1986,1,1,2,1026300
1986,1,1,3,1711300
1986,1,1,4,824603
1986,1,1,5,893305
1986,1,1,6,2155810
1986,1,1,7,236466
1986,1,1,8,79957.1
1986,1,1,9,1184670
1986,1,1,10,477001
1986,1,1,11,192179
1986,1,1,12,174990
1986,1,1,13,204922
1986,1,1,14,224668
1986,1,1,15,32308.6
1986,1,1,16,248255
1987,1,1,1,164787000
1987,1,1,2,2873600
1987,1,1,3,2128510
1987,1,1,4,461528
1987,1,1,5,6542510
1987,1,1,6,910739
1987,1,1,7,663472
1987,1,1,8,176646
1987,1,1,9,229988
1987,1,1,10,725058
1987,1,1,11,54966.6
1987,1,1,12,29597.6
1987,1,1,13,352671
1987,1,1,14,192076
1987,1,1,15,56714
1987,1,1,16,299946
1988,1,1,1,112503000
1988,1,1,2,3577290
1988,1,1,3,3927640
1988,1,1,4,2612430
1988,1,1,5,4293370
1988,1,1,6,638771
1988,1,1,7,546902
1988,1,1,8,122587
1988,1,1,9,1687660
1988,1,1,10,375075
1988,1,1,11,263394
1988,1,1,12,44307.6
1988,1,1,13,80934
1988,1,1,14,231380
1988,1,1,15,16252
1988,1,1,16,323961
1989,1,1,1,34280100
1989,1,1,2,371407
1989,1,1,3,3031710
1989,1,1,4,618032
1989,1,1,5,4395730
1989,1,1,6,679526
1989,1,1,7,774357
1989,1,1,8,596753
1989,1,1,9,898504
1989,1,1,10,267467
1989,1,1,11,176753
1989,1,1,12,36492.9
1989,1,1,13,418837
1989,1,1,14,140008
1989,1,1,15,94102.3
1989,1,1,16,228280
1990,1,1,1,97014000
1990,1,1,2,2263430
1990,1,1,3,2438960
1990,1,1,4,543017
1990,1,1,5,3082520
1990,1,1,6,1440800
1990,1,1,7,335668
1990,1,1,8,233544
1990,1,1,9,1151760
1990,1,1,10,276252
1990,1,1,11,311558
1990,1,1,12,151873
1990,1,1,13,221165
1990,1,1,14,112595
1990,1,1,15,62734.4
1990,1,1,16,297859
1991,1,1,1,1402130
1991,1,1,2,1458440
1991,1,1,3,2513220
1991,1,1,4,2060330
1991,1,1,5,2757350
1991,1,1,6,431689
1991,1,1,7,440008
1991,1,1,8,132864
1991,1,1,9,669646
1991,1,1,10,453678
1991,1,1,11,79121.5
1991,1,1,12,99563.4
1991,1,1,13,306920
1991,1,1,14,132477
1991,1,1,15,123278
1991,1,1,16,265037
1992,1,1,1,32388600
1992,1,1,2,918678
1992,1,1,3,2411710
1992,1,1,4,2231280
1992,1,1,5,3230760
1992,1,1,6,690752
1992,1,1,7,379832
1992,1,1,8,475940
1992,1,1,9,591338
1992,1,1,10,156621
1992,1,1,11,104400
1992,1,1,12,32720.7
1992,1,1,13,155667
1992,1,1,14,131219
1992,1,1,15,26146.3
1992,1,1,16,312380
1993,1,1,1,8596430
1993,1,1,2,822537
1993,1,1,3,1784750
1993,1,1,4,2926290
1993,1,1,5,2080820
1993,1,1,6,320854
1993,1,1,7,421852
1993,1,1,8,563923
1993,1,1,9,766887
1993,1,1,10,298049
1993,1,1,11,107511
1993,1,1,12,123559
1993,1,1,13,146931
1993,1,1,14,58466.5
1993,1,1,15,28203.3
1993,1,1,16,207454
1994,1,1,1,104445000
1994,1,1,2,954323
1994,1,1,3,3736920
1994,1,1,4,984756
1994,1,1,5,3367560
1994,1,1,6,182321
1994,1,1,7,400688
1994,1,1,8,653125
1994,1,1,9,535818
1994,1,1,10,139113
1994,1,1,11,96810.5
1994,1,1,12,131557
1994,1,1,13,173019
1994,1,1,14,102373
1994,1,1,15,32856.1
1994,1,1,16,159334
1995,1,1,1,190457000
1995,1,1,2,828088
1995,1,1,3,2215450
1995,1,1,4,1511910
1995,1,1,5,2545930
1995,1,1,6,584215
1995,1,1,7,425965
1995,1,1,8,243019
1995,1,1,9,961268
1995,1,1,10,112607
1995,1,1,11,129404
1995,1,1,12,167713
1995,1,1,13,144305
1995,1,1,14,56816.2
1995,1,1,15,26776.3
1995,1,1,16,176834
1996,1,1,1,25784000
1996,1,1,2,1611490
1996,1,1,3,2871610
1996,1,1,4,2526600
1996,1,1,5,3333800
1996,1,1,6,955752
1996,1,1,7,399472
1996,1,1,8,365764
1996,1,1,9,477652
1996,1,1,10,199721
1996,1,1,11,145925
1996,1,1,12,64511
1996,1,1,13,252023
1996,1,1,14,58528.9
1996,1,1,15,41557.5
1996,1,1,16,164580
1997,1,1,1,98221800
1997,1,1,2,9794650
1997,1,1,3,1563090
1997,1,1,4,1402610
1997,1,1,5,945700
1997,1,1,6,1823850
1997,1,1,7,139342
1997,1,1,8,654191
1997,1,1,9,489464
1997,1,1,10,303251
1997,1,1,11,162649
1997,1,1,12,115975
1997,1,1,13,123962
1997,1,1,14,67117.6
1997,1,1,15,54429.4
1997,1,1,16,180034
1998,1,1,1,49480.3
1998,1,1,2,424788
1998,1,1,3,1325110
1998,1,1,4,760602
1998,1,1,5,3566390
1998,1,1,6,437358
1998,1,1,7,398828
1998,1,1,8,349695
1998,1,1,9,257401
1998,1,1,10,546971
1998,1,1,11,43016
1998,1,1,12,156239
1998,1,1,13,127402
1998,1,1,14,82350.5
1998,1,1,15,63084
1998,1,1,16,167042
1999,1,1,1,2770460
1999,1,1,2,10684200
1999,1,1,3,1735270
1999,1,1,4,1416470
1999,1,1,5,1890290
1999,1,1,6,1281230
