area,sex,year,age,f
1,1,1952,0,7.72500000000287e-05
1,1,1953,0,0.0001135000000001
1,1,1954,0,0.000524999999999998
1,1,1955,0,0.000137000000000054
1,1,1956,0,0.000158500000000061
1,1,1957,0,0.000423249999999986
1,1,1958,0,0.00050024999999998
1,1,1959,0,0.000268500000000005
1,1,1960,0,0.000270250000000027
1,1,1961,0,0.000594749999999977
1,1,1962,0,0.000582250000000006
1,1,1963,0,0.000708250000000077
1,1,1964,0,0.000356000000000023
1,1,1965,0,0.00106175000000008
1,1,1966,0,0.00101324999999997
1,1,1967,0,0.00063325000000003
1,1,1968,0,0.00111675
1,1,1969,0,0.000706749999999978
1,1,1970,0,0.00107425000000005
1,1,1971,0,0.00156100000000003
1,1,1972,0,0.00108625000000007
1,1,1973,0,0.00109800000000004
1,1,1974,0,0.00158950000000002
1,1,1975,0,0.000702749999999974
1,1,1976,0,0.00146825000000006
1,1,1977,0,0.000458249999999993
1,1,1978,0,0.000756500000000049
1,1,1979,0,0.00121499999999997
1,1,1980,0,0.00187775000000001
1,1,1981,0,0.00212075
1,1,1982,0,0.00178374999999997
1,1,1983,0,0.000886750000000047
1,1,1984,0,0.0016815
1,1,1985,0,0.00155000000000005
1,1,1986,0,0.000990500000000005
1,1,1987,0,0.00105425000000003
1,1,1988,0,0.00120475000000009
1,1,1989,0,0.00123450000000003
1,1,1990,0,0.00132750000000004
1,1,1991,0,0.00069549999999996
1,1,1992,0,0.000710749999999982
1,1,1993,0,0.000665000000000027
1,1,1994,0,0.000804750000000021
1,1,1995,0,0.000574750000000068
1,1,1996,0,0.0012572500000001
1,1,1997,0,0.00253550000000002
1,1,1998,0,0.00266725000000001
1,1,1999,0,0.00333824999999999
1,1,2000,0,0.00297700000000001
1,1,2001,0,0.00352075000000007
1,1,2002,0,0.00339825000000005
1,1,2003,0,0.00255775000000003
1,1,2004,0,0.00249474999999999
1,1,2005,0,0.00254774999999996
1,1,2006,0,0.00156175000000003
1,1,2007,0,0.00152725000000009
1,1,2008,0,0.00193500000000002
1,1,2009,0,0.00215224999999997
1,1,2010,0,0.00245649999999997
1,1,2011,0,0.00382400000000005
1,1,2012,0,0.00269300000000006
1,1,2013,0,0.00274399999999997
1,1,2014,0,0.00191825000000001
1,1,2015,0,0.00228249999999997
1,1,2016,0,0.00219049999999998
1,1,2017,0,0.00261175000000002
