area,sex,year,age,n
1,1,1952,0,231.299
1,1,1953,0,231.318
1,1,1954,0,231.315
1,1,1955,0,231.291
1,1,1956,0,231.254
1,1,1957,0,231.223
1,1,1958,0,231.205
1,1,1959,0,231.169
1,1,1960,0,231.129
1,1,1961,0,231.104
1,1,1962,0,231.062
1,1,1963,0,231.021
1,1,1964,0,230.968
1,1,1965,0,230.948
1,1,1966,0,230.882
1,1,1967,0,230.801
1,1,1968,0,230.736
1,1,1969,0,229.161
1,1,1970,0,228.734
1,1,1971,0,228.256
1,1,1972,0,227.56
1,1,1973,0,226.789
1,1,1974,0,225.97
1,1,1975,0,225.057
1,1,1976,0,223.966
1,1,1977,0,222.588
1,1,1978,0,221.13
1,1,1979,0,219.931
1,1,1980,0,218.625
1,1,1981,0,218.216
1,1,1982,0,218.901
1,1,1983,0,216.451
1,1,1984,0,236.614
1,1,1985,0,214.294
1,1,1986,0,202.284
1,1,1987,0,220.117
1,1,1988,0,238.323
1,1,1989,0,256.625
1,1,1990,0,384.185
1,1,1991,0,219.261
1,1,1992,0,281.511
1,1,1993,0,254.846
1,1,1994,0,277.805
1,1,1995,0,178.33
1,1,1996,0,130.039
1,1,1997,0,220.832
1,1,1998,0,261.126
1,1,1999,0,104.456
1,1,2000,0,153.403
1,1,2001,0,272.428
1,1,2002,0,151.566
1,1,2003,0,197.184
1,1,2004,0,229.439
1,1,2005,0,256.393
1,1,2006,0,334.547
1,1,2007,0,154.29
1,1,2008,0,332.898
1,1,2009,0,315.218
1,1,2010,0,294.174
1,1,2011,0,211.158
1,1,2012,0,245.139
1,1,2013,0,203.469
1,1,2014,0,78.1179
1,1,2015,0,167.402
1,1,2016,0,91.285
1,1,2017,0,148.596
1,1,2018,0,152.781
1,1,2019,0,301.267
1,1,2020,0,185.149
1,1,2021,0,107.023
1,1,2022,0,216.613
1,1,2023,0,216.77
1,1,1952,1,126.486
1,1,1953,1,126.477
1,1,1954,1,126.483
1,1,1955,1,126.431
1,1,1956,1,126.464
1,1,1957,1,126.442
1,1,1958,1,126.392
1,1,1959,1,126.373
1,1,1960,1,126.382
1,1,1961,1,126.36
1,1,1962,1,126.306
1,1,1963,1,126.286
1,1,1964,1,126.246
1,1,1965,1,126.262
1,1,1966,1,126.166
1,1,1967,1,126.135
1,1,1968,1,126.136
1,1,1969,1,126.044
1,1,1970,1,125.233
1,1,1971,1,124.955
1,1,1972,1,124.637
1,1,1973,1,124.313
1,1,1974,1,123.891
1,1,1975,1,123.384
1,1,1976,1,122.988
1,1,1977,1,122.301
1,1,1978,1,121.667
1,1,1979,1,120.836
1,1,1980,1,120.127
1,1,1981,1,119.337
1,1,1982,1,119.087
1,1,1983,1,119.499
1,1,1984,1,118.265
1,1,1985,1,129.181
1,1,1986,1,117.01
1,1,1987,1,110.512
1,1,1988,1,120.246
1,1,1989,1,130.168
1,1,1990,1,140.165
1,1,1991,1,209.815
1,1,1992,1,119.819
1,1,1993,1,153.833
1,1,1994,1,139.268
1,1,1995,1,151.79
1,1,1996,1,97.4608
1,1,1997,1,71.0218
1,1,1998,1,120.463
1,1,1999,1,142.414
1,1,2000,1,56.9303
1,1,2001,1,83.635
1,1,2002,1,148.444
1,1,2003,1,82.5867
1,1,2004,1,107.536
1,1,2005,1,125.122
1,1,2006,1,139.835
1,1,2007,1,182.612
1,1,2008,1,84.2268
1,1,2009,1,181.644
1,1,2010,1,171.955
