year,age,f
1952,1,0.004866231883
1953,1,0.004401648389
1954,1,0.00419481924825
1955,1,0.00578784593535
1956,1,0.00419960303175
1957,1,0.004879476206925
1958,1,0.00708928213825
1959,1,0.0028917004346
1960,1,0.0019717776392
1961,1,0.0033826142707
1962,1,0.00174683795045
1963,1,0.0020138882316
1964,1,0.00417392531275
1965,1,0.00649588688225
1966,1,0.004125936890955
1967,1,0.006433778944
1968,1,0.00964625120925
1969,1,0.0169385817415
1970,1,0.04232644925
1971,1,0.083893913
1972,1,0.06641340625
1973,1,0.05712985875
1974,1,0.09233463525
1975,1,0.05818144
1976,1,0.06932885675
1977,1,0.1144311115
1978,1,0.25736955175
1979,1,0.2487067085
1980,1,0.1366189085
1981,1,0.2000795465
1982,1,0.15167323975
1983,1,0.228170115
1984,1,0.2661278705
1985,1,0.2264210365
1986,1,0.356382281
1987,1,0.3209482225
1988,1,0.2256221675
1989,1,0.2731564985
1990,1,0.33267308225
1991,1,0.58882716925
1992,1,0.4778460975
1993,1,0.434895068
1994,1,0.41708169225
1995,1,0.4694513645
1996,1,0.454882293
1997,1,0.4801436475
1998,1,0.566981335
1999,1,0.653829212
2000,1,0.489794545
2001,1,0.4683018325
2002,1,0.42561437425
2003,1,0.8265709625
2004,1,0.65908587
2005,1,0.5840522975
2006,1,0.5879293875
2007,1,0.6696913425
2008,1,0.72924378
2009,1,0.513413836
2010,1,0.5009913725
2011,1,0.69408402375
2012,1,0.47338570925
2013,1,0.51266372325
2014,1,0.67949698
2015,1,0.6259979125
2016,1,0.6962952285
2017,1,0.455041337
2018,1,0.6227889305
2019,1,0.6293663475
2020,1,0.95395420325
2021,1,0.55356015775
1952,2,0.007875645075
1953,2,0.007531055675
1954,2,0.0066938282
1955,2,0.00933123765
1956,2,0.009741096825
1957,2,0.010670938475
1958,2,0.0136729578
1959,2,0.0089227574
1960,2,0.008349305125
1961,2,0.007834907275
1962,2,0.00720423755
1963,2,0.01041216755
1964,2,0.00908037515
1965,2,0.009562043225
1966,2,0.0101443349
1967,2,0.0149007381
1968,2,0.013143103125
1969,2,0.01900032375
1970,2,0.020100085
1971,2,0.0241835695
1972,2,0.01865711125
1973,2,0.017450158
1974,2,0.01831822975
1975,2,0.02682403325
1976,2,0.02545509225
1977,2,0.026443222
1978,2,0.03165799725
1979,2,0.04009906225
1980,2,0.0334856185
1981,2,0.05948412725
1982,2,0.050142078
1983,2,0.06597875625
1984,2,0.07585017025
1985,2,0.074163422
1986,2,0.08143680725
1987,2,0.085965677
1988,2,0.0607545155
1989,2,0.088038991
1990,2,0.08778458175
1991,2,0.129954404
1992,2,0.1332719995
1993,2,0.08811460125
