year,age,n
1952,1,97.80556015
1953,1,101.715008415
1954,1,124.918642255
1955,1,128.52993009
1956,1,76.738027875
1957,1,64.8362864375
1958,1,91.92877884275
1959,1,71.39657009775
1960,1,58.40066272525
1961,1,61.07009480625
1962,1,60.9527004605
1963,1,55.63950053775
1964,1,60.47449690825
1965,1,53.712366112
1966,1,57.2336386275
1967,1,61.3968751025
1968,1,43.34516016
1969,1,58.28072349
1970,1,58.70985355925
1971,1,34.8722113915
1972,1,51.145303125
1973,1,63.448773555
1974,1,42.68550339825
1975,1,90.3412754855
1976,1,44.715263515
1977,1,62.892517717
1978,1,42.33459196425
1979,1,33.03028784775
1980,1,58.15174865425
1981,1,53.43743895
1982,1,71.2196514325
1983,1,55.975792195
1984,1,47.2627353
1985,1,71.6619584475
1986,1,45.1278929725
1987,1,55.6080735725
1988,1,92.55108505
1989,1,52.9334501075
1990,1,68.390237325
1991,1,50.8521961675
1992,1,70.86338662
1993,1,50.8370725225
1994,1,61.8211009975
1995,1,75.5251260325
1996,1,71.6850068175
1997,1,50.363922055
1998,1,76.5447886425
1999,1,50.512509925
2000,1,90.537255455
2001,1,67.4650364025
2002,1,76.2655352275
2003,1,53.3962005225
2004,1,93.64064271
2005,1,55.0885716
2006,1,65.6157576475
2007,1,65.4872592525
2008,1,56.241478525
2009,1,75.2049264875
2010,1,54.1373930525
2011,1,55.05363485
2012,1,83.93883861
2013,1,74.88283079
2014,1,54.2247683875
2015,1,62.8134639575
2016,1,68.869657625
2017,1,62.9556897675
2018,1,55.9337368
2019,1,48.5987711325
2020,1,77.80503239
2021,1,65.9384771
1952,2,37.53755935
1953,2,37.43848335
1954,2,36.50474244375
1955,2,48.3796025355
1956,2,51.9985568325
1957,2,29.47273301
1958,2,24.9125300005
1959,2,33.01602125625
1960,2,30.689039786
1961,2,21.26159082025
1962,2,24.566864077
1963,2,22.587525011
1964,2,21.79581614675
1965,2,23.4733736485
1966,2,20.446381627
1967,2,20.60705455075
1968,2,25.04565983825
1969,2,16.37607683075
1970,2,21.45644591
1971,2,22.67980506325
1972,2,11.64414219075
1973,2,19.010854266
1974,2,23.21430264175
1975,2,16.7502763475
1976,2,32.39942842025
1977,2,16.512918605
1978,2,21.89596259675
1979,2,17.468164351
1980,2,11.231853695875
1981,2,20.6670263325
1982,2,17.87619283225
1983,2,24.1000104995
1984,2,17.8385480975
1985,2,14.829408685
1986,2,23.05254262
1987,2,14.21683269
1988,2,16.5325698455
1989,2,30.316403564
1990,2,15.8807393475
1991,2,19.2803434175
1992,2,13.4825846825
1993,2,19.1522338575
1994,2,14.4843861675
1995,2,16.9535672835
1996,2,24.843521473
1997,2,18.91384536625
1998,2,13.79007681
1999,2,18.8363621425
2000,2,11.2182063775
2001,2,24.212525325
2002,2,17.9649215065
2003,2,21.17658112
2004,2,12.816840347
2005,2,23.62813894325
2006,2,13.98009689
2007,2,15.92466348
2008,2,13.9761745875
2009,2,12.1601099325
2010,2,19.6769586275
2011,2,12.3667356625
2012,2,12.2236858825
2013,2,21.132826545
2014,2,17.6421857775
2015,2,12.9031032125
2016,2,14.933891455
2017,2,15.7873290475
2018,2,15.7540263425
2019,2,13.6406871625
2020,2,11.7775746925
2021,2,16.8782888725
1952,3,22.299392275
1953,3,22.118541225
1954,3,22.098498775
1955,3,21.3296299905
1956,3,28.5249769155
1957,3,30.7833289475
1958,3,17.27083659575
1959,3,14.6161361675
1960,3,19.1165415095
1961,3,18.3537238675
1962,3,12.3524986975
1963,3,14.5307158885
1964,3,13.155078497
1965,3,12.873063025
1966,3,13.80073621925
1967,3,11.98028989025
1968,3,11.9263548315
1969,3,14.8273526085
1970,3,9.564569744
1971,3,12.46700153225
1972,3,13.30748377
1973,3,6.7008355545
1974,3,11.10602491875
1975,3,13.50702819325
1976,3,9.85928739425
1977,3,18.58055877425
1978,3,9.6275660335
1979,3,12.57510098925
1980,3,10.2683300213
1981,3,6.425212874525
1982,3,11.77079683575
1983,3,10.1369191145
1984,3,13.581620416
1985,3,10.00408642025
1986,3,8.3518951525
1987,3,12.6885475175
1988,3,7.86637149975
1989,3,9.281648928
1990,3,16.8005779795
1991,3,8.844247204
1992,3,10.410715609
1993,3,7.34262759725
1994,3,10.399702972
1995,3,7.91715840325
1996,3,9.196966848
1997,3,13.98370274875
1998,3,9.76528175325
1999,3,7.58830717875
2000,3,9.20277308225
2001,3,6.098747908
2002,3,12.95598693025
2003,3,9.6829988045
2004,3,11.12286291925
2005,3,6.8602972045
2006,3,12.30141742975
2007,3,7.50548646225
2008,3,8.48261029
2009,3,7.27901011
2010,3,6.43476932425
