year,age,f
1995,0,0.014242
1996,0,0.008708
1997,0,0.010867
1998,0,0.0138
1999,0,0.020549
2000,0,0.0148425
2001,0,0.0156345
2002,0,0.018747
2003,0,0.0180905
2004,0,0.02672
2005,0,0.0182865
2006,0,0.018676
2007,0,0.0144255
2008,0,0.0196305
2009,0,0.018589
2010,0,0.0204025
2011,0,0.014323
2012,0,0.020445
2013,0,0.016839
2014,0,0.018187
2015,0,0.0150645
2016,0,0.013676
2017,0,0.00863949999999998
2018,0,0.00877699999999998
2019,0,0.011322
2020,0,0.00888299999999999
2021,0,0.010432
2022,0,0.00965649999999998
2023,0,0.00644149999999999
1995,1,0.0337284998343304
1996,1,0.0209989998815294
1997,1,0.0258079999171054
1998,1,0.0336459998683946
1999,1,0.0504739997155758
2000,1,0.0357839996877001
2001,1,0.0382114997653377
2002,1,0.0448614997007297
2003,1,0.0434559996793216
2004,1,0.0641564994668105
2005,1,0.0438084994859865
2006,1,0.0444359996940368
2007,1,0.0344089997526452
2008,1,0.0469239997298818
2009,1,0.0440449996574876
2010,1,0.0483609996854543
2011,1,0.0340674997531623
2012,1,0.048432999734825
2013,1,0.0398444996630475
2014,1,0.0431304997237007
2015,1,0.0355629997659527
2016,1,0.0324389998915915
2017,1,0.0204159998640406
2018,1,0.0211759999292314
2019,1,0.027067999918163
2020,1,0.0213764998756476
2021,1,0.0248919999285357
2022,1,0.0234714999346233
2023,1,0.0153839999129299
1995,2,0.069234996249828
1996,2,0.0430149976647088
1997,2,0.0526684980332702
1998,2,0.069067997285562
1999,2,0.103862994651953
2000,2,0.0735034940333796
2001,2,0.0786044952222741
2002,2,0.0921014940232915
2003,2,0.0892704933891354
2004,2,0.131796990134617
2005,2,0.0898729905634412
2006,2,0.0911779926949654
2007,2,0.0705884946644666
2008,2,0.0963334942310021
2009,2,0.0903674927230105
2010,2,0.0991404923195549
2011,2,0.0696519944912393
2012,2,0.0991979940105955
2013,2,0.08146549337792
2014,2,0.0882304937709844
2015,2,0.0726094948801558
2016,2,0.0662379959409738
2017,2,0.0413479979115627
2018,2,0.0431274984884801
2019,2,0.0550974980059964
2020,2,0.0435649982133404
2021,2,0.05087599834672
2022,2,0.047803498425409
2023,2,0.031587998712089
1995,3,0.11870048544435
1996,3,0.0727924907371246
1997,3,0.0893714913610266
1998,3,0.116556489661994
1999,3,0.175217981484386
2000,3,0.124920979121913
2001,3,0.13289948063716
2002,3,0.157042476511987
2003,3,0.152042473940643
2004,3,0.224525960674216
2005,3,0.152980464694195
2006,3,0.155831467984239
2007,3,0.120434477505849
2008,3,0.164353974482244
2009,3,0.154779971086107
2010,3,0.169560967309966
2011,3,0.118422477284126
2012,3,0.169482472882913
2013,3,0.138910974324655
2014,3,0.150378974292678
2015,3,0.123707978644042
2016,3,0.112571483257291
2017,3,0.0695454913498103
2018,3,0.0723169942550946
2019,3,0.092781493034444
2020,3,0.0732314937685948
2021,3,0.0863044926685754
2022,3,0.0798314938428434
2023,3,0.0539309953111158
1995,4,0.17374199138552
1996,4,0.105289995411589
1997,4,0.129748494382805
1998,4,0.16803849525615
1999,4,0.252356992917575
2000,4,0.181298490554918
2001,4,0.191836491364252
2002,4,0.228664986550592
2003,4,0.221106486386363
2004,4,0.326588978693228
2005,4,0.222430481860698
2006,4,0.2274394802405
2007,4,0.175500986318305
2008,4,0.239443984316187
2009,4,0.226372982773429
2010,4,0.247708980219554
2011,4,0.172157486852367
2012,4,0.247411482155025
2013,4,0.202503484692558
2014,4,0.219094984269394
2015,4,0.180267986361489
2016,4,0.1636444894874
2017,4,0.100325994710739
2018,4,0.103846996833061
2019,4,0.133805996254141
2020,4,0.105392497115642
2021,4,0.125205495897494
2022,4,0.114175497510168
2023,4,0.0786209972763768
1995,5,0.224160541346438
1996,5,0.134822027167292
1997,5,0.166633534359349
1998,5,0.214634540950112
1999,5,0.322010057313015
2000,5,0.232581545619658
2001,5,0.245163063440345
2002,5,0.294004577866867
2003,5,0.284025577223613
2004,5,0.419587621970508
2005,5,0.285745591498017
2006,5,0.292906107499878
2007,5,0.22578958059112
2008,5,0.307978100895817
2009,5,0.291932585606002
2010,5,0.319245097383357
2011,5,0.221241071164167
2012,5,0.3187461031354
2013,5,0.260713577463678
2014,5,0.281947585459812
2015,5,0.23206956914903
2016,5,0.210332061335924
2017,5,0.128441032301118
2018,5,0.13243602956855
2019,5,0.171148028730588
2020,5,0.13459451916792
2021,5,0.160688523537841
2022,5,0.14521102121574
2023,5,0.101164515458567
1995,6,0.262700033481127
1996,6,0.15739251164279
1997,6,0.194958550771002
