year,age,n
1995,0,157.3048
1996,0,155.5304
1997,0,162.1658
1998,0,159.461
1999,0,149.1948
2000,0,125.859
2001,0,115.0334
2002,0,104.4254
2003,0,93.4918
2004,0,88.4714
2005,0,74.4508
2006,0,71.4458
2007,0,66.8616
2008,0,66.5958
2009,0,58.7664
2010,0,53.0816
2011,0,46.2738
2012,0,45.109
2013,0,39.9024
2014,0,38.7286
2015,0,37.4014
2016,0,37.439
2017,0,37.4094
2018,0,40.7946
2019,0,43.6216
2020,0,43.4986
2021,0,44.977
2022,0,44.993
2023,0,45.1026
1995,1,158.4479
1996,1,135.8987
1997,1,135.1114
1998,1,140.5717
1999,1,137.8223
2000,1,128.082
2001,1,108.6668
2002,1,99.2414
2003,1,89.8096
2004,1,80.4592
2005,1,75.4844
2006,1,64.06
2007,1,61.4502
2008,1,57.7525
2009,1,57.2242
2010,1,50.5491
2011,1,45.5765
2012,1,39.9736
2013,1,38.7295
2014,1,34.383
2015,1,33.3266
2016,1,32.2853
2017,1,32.3626
2018,1,32.5003
2019,1,35.4363
2020,1,37.7958
2021,1,37.7811
2022,1,39.0047
2023,1,39.049
1995,2,129.3274
1996,2,134.2445
1997,2,116.6149
1998,2,115.383
1999,2,119.1089
2000,2,114.8305
2001,2,108.2942
2002,2,91.6558
2003,2,83.151
2004,2,75.3544
2005,2,66.1258
2006,2,63.3125
2007,2,53.6966
2008,2,52.0281
2009,2,48.2892
2010,2,47.9855
2011,2,42.2055
2012,2,38.6015
2013,2,33.3732
2014,2,32.6135
2015,2,28.8583
2016,2,28.1841
2017,2,27.3889
2018,2,27.7866
2019,2,27.8836
2020,2,30.224
2021,2,32.4204
2022,2,32.2941
2023,2,33.3874
1995,3,104.2894
1996,3,105.7501
1997,3,112.687
1998,3,96.9481
1999,3,94.3636
2000,3,94.0795
2001,3,93.4961
2002,3,87.7256
2003,3,73.252
2004,3,66.6433
2005,3,57.88
2006,3,52.9661
2007,3,50.6465
2008,3,43.8479
2009,3,41.4057
2010,3,38.6601
2011,3,38.0813
2012,3,34.4967
2013,3,30.6325
2014,3,26.9573
2015,3,26.166
2016,3,23.5177
2017,3,23.1151
2018,3,23.0291
2019,3,23.3219
2020,3,23.1248
2021,3,25.3566
2022,3,27.0011
2023,3,26.9787
1995,4,81.9086
1996,4,81.161
1997,4,86.164
1998,4,90.3064
1999,4,75.6097
2000,4,69.4012
2001,4,72.7615
2002,4,71.7355
2003,4,65.7025
2004,4,55.1374
2005,4,46.6556
2006,4,43.5259
2007,4,39.7173
2008,4,39.3463
2009,4,32.6008
2010,4,31.0812
2011,4,28.5945
2012,4,29.6442
2013,4,25.517
2014,4,23.3621
2015,4,20.3248
2016,4,20.2614
2017,4,18.41467
2018,4,18.89522
2019,4,18.77273
2020,4,18.62633
2021,4,18.83361
2022,4,20.3829
2023,4,21.8459
1995,5,62.0259
1996,5,60.3299
1997,5,64.0146
1998,5,66.3185
1999,5,66.8958
2000,5,51.48
2001,5,50.7327
2002,5,52.6315
2003,5,50.0132
2004,5,46.1546
2005,5,34.8554
2006,5,32.7312
2007,5,30.383
2008,5,29.2024
2009,5,27.1377
2010,5,22.7811
2011,5,21.2607
2012,5,21.0946
2013,5,20.2837
2014,5,18.2618
2015,5,16.44441
2016,5,14.87285
2017,5,15.07502
2018,5,14.59659
2019,5,14.92486
2020,5,14.39045
2021,5,14.68975
2022,5,14.56183
2023,5,15.93453
1995,6,46.1454
1996,6,43.4389
1997,6,46.1996
1998,6,47.4864
1999,6,46.8899
2000,6,42.4825
2001,6,35.751
2002,6,34.7915
2003,6,34.3732
2004,6,32.9908
2005,6,26.5857
2006,6,22.9525
2007,6,21.4
2008,6,21.2437
2009,6,18.80721
2010,6,17.76017
2011,6,14.50732
2012,6,14.93318
2013,6,13.44006
2014,6,13.69559
2015,6,12.07129
2016,6,11.4259
2017,6,10.56104
2018,6,11.6181
2019,6,11.20452
2020,6,11.02148
2021,6,11.02249
2022,6,10.96192
2023,6,11.03595
1995,7,32.4027
1996,7,31.0954
1997,7,32.5224
1998,7,33.314
1999,7,32.4037
2000,7,28.2429
2001,7,28.3711
2002,7,23.5432
2003,7,21.6164
2004,7,21.6115
2005,7,17.70183
2006,7,16.68038
2007,7,14.27417
2008,7,14.39864
2009,7,12.984
2010,7,11.70648
2011,7,10.7075
2012,7,9.81342
2013,7,9.00861
2014,7,8.67848
2015,7,8.62718
2016,7,8.06021
2017,7,7.82776
2018,7,7.96414
2019,7,8.72449
2020,7,8.03987
2021,7,8.2548
2022,7,8.00459
2023,7,8.11213
1995,8,22.3261
1996,8,21.3289
1997,8,22.9608
1998,8,23.0444
1999,8,22.2451
2000,8,18.90039
2001,8,18.41788
2002,8,18.22875
2003,8,14.18995
2004,8,13.1999
2005,8,11.10642
2006,8,10.78345
2007,8,10.06206
2008,8,9.38165
2009,8,8.52438
2010,8,7.8388
2011,8,6.82582
2012,8,7.07728
2013,8,5.72544
2014,8,5.65953
2015,8,5.30743
2016,8,5.62086
2017,8,5.40117
2018,8,5.82247
2019,8,5.89919
2020,8,6.14915
2021,8,5.93819
2022,8,5.89503
2023,8,5.83609
1995,9,15.2799
1996,9,14.57537
1997,9,15.66919
1998,9,16.16172
1999,9,15.2672
2000,9,12.82847
2001,9,12.22165
2002,9,11.73116
2003,9,10.86913
2004,9,8.57613
2005,9,6.68106
2006,9,6.69452
2007,9,6.43485
2008,9,6.55815
2009,9,5.49183
2010,9,5.09109
2011,9,4.51635
2012,9,4.47304
2013,9,4.07948
2014,9,3.5607
2015,9,3.42374
2016,9,3.42633
2017,9,3.73537
2018,9,3.99486
2019,9,4.28949
2020,9,4.12858
2021,9,4.51698
2022,9,4.21417
2023,9,4.27256
1995,10,10.49238
1996,10,10.01853
1997,10,10.73063
1998,10,11.05537
1999,10,10.74543
2000,10,8.85526
2001,10,8.33044
2002,10,7.81909
2003,10,7.03284
2004,10,6.60385
2005,10,4.37481
2006,10,4.04752
2007,10,4.01657
2008,10,4.21122
2009,10,3.86097
2010,10,3.29802
2011,10,2.95027
2012,10,2.96984
2013,10,2.59272
2014,10,2.54775
2015,10,2.164
2016,10,2.21808
2017,10,2.28409
2018,10,2.76568
2019,10,2.94726
2020,10,3.00783
2021,10,3.03749
2022,10,3.21331
2023,10,3.05874
1995,11,7.27616
1996,11,6.96576
1997,11,7.42634
1998,11,7.63346
1999,11,7.43131
2000,11,6.33842
2001,11,5.82229
2002,11,5.39901
2003,11,4.76273
2004,11,4.33922
2005,11,3.44622
2006,11,2.69096
2007,11,2.4675
2008,11,2.66077
2009,11,2.52106
2010,11,2.35619
2011,11,1.944533
2012,11,1.962022
2013,11,1.750954
2014,11,1.641253
2015,11,1.571247
2016,11,1.418571
2017,11,1.494298
2018,11,1.700344
2019,11,2.05248
2020,11,2.08282
2021,11,2.22657
2022,11,2.17829
2023,11,2.34697
1995,12,5.11073
1996,12,4.90912
1997,12,5.20993
1998,12,5.34075
1999,12,5.20509
2000,12,4.4804
2001,12,4.23534
2002,12,3.83734
2003,12,3.35726
2004,12,2.99776
2005,12,2.33221
2006,12,2.16217
2007,12,1.674837
2008,12,1.660646
2009,12,1.627808
2010,12,1.570904
2011,12,1.420842
2012,12,1.312504
2013,12,1.182738
2014,12,1.128237
2015,12,1.031841
2016,12,1.046153
2017,12,0.969082
2018,12,1.120728
2019,12,1.271939
2020,12,1.465763
2021,12,1.554591
