year,age,n
1972,1,3141.60036525
1973,1,5388.5344195
1974,1,3015.0444553
1975,1,4050.3997750625
1976,1,2849.433986575
1977,1,2336.20820575
1978,1,3683.3944636
1979,1,2711.805353575
1980,1,1680.085210875
1981,1,2534.957914675
1982,1,2588.8730195
1983,1,3113.3657
1984,1,3060.31932745
1985,1,2202.14933375
1986,1,2682.751658
1987,1,2758.794825275
1988,1,3022.46783675
1989,1,1212.9206417
1990,1,1730.492554075
1991,1,1590.10686075
1992,1,1957.655916125
1993,1,2269.310295
1994,1,2178.67904095
1995,1,1733.3363504045
1996,1,2226.624198
1997,1,2008.40768743
1998,1,2989.6338514585
1999,1,2018.19474481425
2000,1,2213.153624725
2001,1,2325.9626565
2002,1,3238.78802735
2003,1,1819.4530346975
2004,1,2808.8374126575
2005,1,2571.2856733
2006,1,2581.10347084
2007,1,2984.93166585675
2008,1,1958.252035075
2009,1,2742.217406
2010,1,2912.407866075
2011,1,1788.6330534462
2012,1,2971.5819017575
2013,1,2911.318771775
2014,1,2897.3065292275
2015,1,2823.183085065
2016,1,2246.4736715325
2017,1,2330.004738842
2018,1,2862.33405653525
2019,1,2692.13312473
2020,1,2579.50714426325
2021,1,2346.573235635
2022,1,2517.832831325
2023,1,2635.832702825
2024,1,2611.44252065
1972,2,562.4173675
1973,2,562.57501875
1974,2,901.127923
1975,2,631.142132775
1976,2,670.217418775
1977,2,542.43726925
1978,2,392.466715225
1979,2,622.971878
1980,2,502.59029375
1981,2,296.32091305
1982,2,429.837374775
1983,2,424.088373475
1984,2,515.562989025
1985,2,517.32374565
1986,2,354.95748475
1987,2,446.185468
1988,2,424.9239315
1989,2,518.09945525
1990,2,193.1497239
1991,2,222.9834215
1992,2,221.8083875
1993,2,261.7544505
1994,2,341.506242475
1995,2,305.0986145
1996,2,253.7677545
1997,2,303.07833945
1998,2,278.83028675
1999,2,420.727447575
2000,2,282.39434425
2001,2,299.475364725
2002,2,319.02316525
2003,2,466.714507275
2004,2,251.48385235
2005,2,366.99201735
2006,2,332.62404725
2007,2,327.362069225
2008,2,379.445739
2009,2,222.3831508
2010,2,306.76725945
2011,2,358.89327725
2012,2,217.03840975
2013,2,343.1400469
2014,2,338.947602875
2015,2,354.27241775
2016,2,359.95276345
2017,2,255.02697455
2018,2,242.055860875
2019,2,326.057597
2020,2,346.439517875
2021,2,252.679197125
2022,2,305.4090938
2023,2,291.24207855
2024,2,300.457480475
1972,3,181.35000875
1973,3,181.832981575
1974,3,181.265799375
1975,3,288.19741735
1976,3,207.8695391
1977,3,212.05752205
1978,3,174.4350275
1979,3,124.98338615
1980,3,197.726157425
1981,3,160.130548375
1982,3,94.094633625
1983,3,135.49436
1984,3,132.155021975
1985,3,161.745485525
1986,3,161.917187475
1987,3,110.0077486
1988,3,138.550745175
1989,3,129.763323975
1990,3,155.206589
1991,3,57.222051725
1992,3,62.68358845
1993,3,65.0635837
1994,3,77.166169425
1995,3,100.878235625
1996,3,87.563478925
1997,3,75.908299825
1998,3,88.343760775
1999,3,82.140613825
2000,3,124.0362247
2001,3,83.1639916
2002,3,86.231292225
2003,3,91.71203105
2004,3,135.26624735
2005,3,74.74123995
2006,3,104.6320355
2007,3,96.678076325
2008,3,94.437873225
2009,3,104.744614525
2010,3,62.136953075
2011,3,86.612217725
2012,3,101.1630165
2013,3,61.557305475
2014,3,95.767277475
2015,3,94.378487525
2016,3,100.239519725
2017,3,100.13680055
2018,3,70.9897227
2019,3,66.407517475
2020,3,88.62446915
2021,3,95.738188225
2022,3,69.752154225
2023,3,89.709021775
2024,3,79.97381485
1972,4,73.932415775
1973,4,91.2004244
1974,4,97.452281225
1975,4,99.578211975
1976,4,138.02848565
1977,4,123.5019117125
1978,4,118.104794925
1979,4,104.18057035
1980,4,81.467105925
1981,4,97.939477625
1982,4,91.137907225
1983,4,65.405329975
1984,4,70.27800285
1985,4,70.995945375
1986,4,81.112274725
1987,4,84.44340727
1988,4,67.662057
1989,4,71.61051725
1990,4,68.04867685
1991,4,74.315537325
1992,4,43.61085631
1993,4,35.463497875
1994,4,34.000308
1995,4,37.149502675
1996,4,45.35983325
1997,4,44.89422165
1998,4,40.612845175
1999,4,43.333786775
2000,4,42.13237355
2001,4,55.290909375
2002,4,45.707631525
2003,4,43.329340675
2004,4,44.5634377
2005,4,60.078879475
2006,4,44.70179625
2007,4,49.431720475
2008,4,48.31287395
2009,4,45.960038075
2010,4,48.676548525
2011,4,36.6734452225
2012,4,39.9264167
2013,4,45.97804165
2014,4,35.47890415
2015,4,42.8029953
2016,4,45.09439855
2017,4,47.18479765
2018,4,48.08096655
2019,4,39.056756935
2020,4,33.854505175
2021,4,39.148422275
2022,4,44.186409425
2023,4,37.5901418625
2024,4,41.6306355775
