year,age,f
1952,0,2.19623052468892e-05
1953,0,3.49857859246845e-05
1954,0,0.000202554177479564
1955,0,0.000188337588481616
1956,0,0.000164488498132285
1957,0,0.000267897694844141
1958,0,0.00031618286013445
1959,0,0.000239685676310241
1960,0,0.000212565502245651
1961,0,0.000433904788983395
1962,0,0.000370717130009808
1963,0,0.000618812863845693
1964,0,0.000235248103835498
1965,0,0.000522533852205487
1966,0,0.000552283055016696
1967,0,0.000563329443446609
1968,0,0.000471678941124294
1969,0,0.000334993342136089
1970,0,0.000456970710030357
1971,0,0.000602365217615876
1972,0,0.000508996222791695
1973,0,0.000446637172810979
1974,0,0.000738868772755743
1975,0,0.000788974425236451
1976,0,0.00107930171850034
1977,0,0.000523950296668215
1978,0,0.000622132473528835
1979,0,0.00114011836663888
1980,0,0.00121229065972834
1981,0,0.00144456347159494
1982,0,0.0010245151952518
1983,0,0.000727457234620096
1984,0,0.00108339850964628
1985,0,0.00139252290890102
1986,0,0.00101647899276877
1987,0,0.00116559510352671
1988,0,0.00200577545741265
1989,0,0.00135998753931151
1990,0,0.0014935072235785
1991,0,0.00103857269515721
1992,0,0.00138003168531313
1993,0,0.0012255935253923
1994,0,0.00183721500071553
1995,0,0.00147419049906907
1996,0,0.00166104980438904
1997,0,0.00196115517249702
1998,0,0.00338721431185211
1999,0,0.00379289783052881
2000,0,0.00352098831890683
2001,0,0.00455965419761037
2002,0,0.00723702088114746
2003,0,0.00539846847042216
2004,0,0.00745897295395115
2005,0,0.00474543557174491
2006,0,0.00667360255684868
2007,0,0.00524554778725715
2008,0,0.00693727143148002
2009,0,0.00772610872782329
2010,0,0.00537359813104833
2011,0,0.00806339782222304
2012,0,0.0073837133015122
2013,0,0.00819739113369935
2014,0,0.0095561790140748
2015,0,0.0105540999819846
2016,0,0.0102984409568482
2017,0,0.0109005299436621
2018,0,0.01189186018959
2019,0,0.00924924320514358
2020,0,0.00580549739753894
2021,0,0.00577989901296602
2022,0,0.00722451279305574
2023,0,0.00603774320785403
1952,1,8.83608369667393e-05
1953,1,0.000201614254294205
1954,1,0.00121478228337923
1955,1,0.00140343930869201
1956,1,0.0011463713980266
1957,1,0.00120876959253368
1958,1,0.00193233625021604
1959,1,0.00189775613423491
1960,1,0.00133792333364471
1961,1,0.00234905900454034
1962,1,0.00244301255778029
1963,1,0.00367570872596787
1964,1,0.00177962061057257
1965,1,0.00440452119692306
1966,1,0.00471046813724701
1967,1,0.00381568424529296
1968,1,0.00546810841965583
