year,age,f
1954,1,1.038807e-11
1955,1,1.166543e-11
1956,1,8.463632e-12
1957,1,1.342316e-11
1958,1,1.992692e-11
1959,1,2.82438e-11
1960,1,2.961675e-11
1961,1,3.817448e-11
1962,1,4.503645e-11
1963,1,4.962243e-11
1964,1,4.622482e-11
1965,1,5.944915e-11
1966,1,1.059604e-10
1967,1,1.107737e-10
1968,1,9.436625e-11
1969,1,9.304019e-11
1970,1,1.31308e-10
1971,1,1.5979e-10
1972,1,1.604791e-10
1973,1,2.274635e-10
1974,1,2.238611e-10
1975,1,1.230764e-10
1976,1,9.982163e-11
1977,1,1.872763e-10
1978,1,1.703841e-10
1979,1,1.287009e-10
1980,1,1.528716e-10
1981,1,1.76828e-10
1982,1,1.057255e-05
1983,1,0.0003514358
1984,1,0.001384325
1985,1,0.001499119
1986,1,0.0009668431
1987,1,0.0009749151
1988,1,0.0007368187
1989,1,0.002223364
1990,1,0.0007537553
1991,1,0.001506511
1992,1,0.001690776
1993,1,0.001175618
1994,1,0.002079993
1995,1,0.00215587
1996,1,0.001890348
1997,1,0.001173426
1998,1,0.002337105
1999,1,0.001164581
2000,1,0.001711709
2001,1,0.001139935
2002,1,0.001248742
2003,1,0.001016381
2004,1,0.0009403865
2005,1,0.001018305
2006,1,0.0009703759
2007,1,0.0005934353
2008,1,0.000850647
2009,1,0.0004835598
2010,1,0.0005396414
2011,1,0.0007606712
2012,1,0.0006563062
2013,1,0.000692595
2014,1,0.0008337266
2015,1,0.0007720571
2016,1,0.0005469397
2017,1,0.0006434654
2018,1,0.001120902
2019,1,0.0007439046
2020,1,0.0007536801
2021,1,0.0009384755
2022,1,0.001475248
1954,2,5.864055e-06
1955,2,8.682533e-05
1956,2,4.412529e-05
1957,2,3.389002e-05
1958,2,0.0001442988
1959,2,0.0001760554
1960,2,0.0001945303
1961,2,0.0002062077
1962,2,0.0001947136
1963,2,0.0002529515
1964,2,0.0002180116
1965,2,0.0002776109
1966,2,0.0006628529
1967,2,0.0008358864
1968,2,0.0005502302
1969,2,0.0004843139
1970,2,0.0008030468
1971,2,0.001244741
1972,2,0.001227175
1973,2,0.002190617
1974,2,0.002702134
1975,2,0.001107262
1976,2,0.0007538682
1977,2,0.001202296
1978,2,0.001485061
1979,2,0.001304529
1980,2,0.001773202
1981,2,0.001771107
1982,2,0.001561345
1983,2,0.004271857
1984,2,0.014308
1985,2,0.01504608
1986,2,0.0126489
1987,2,0.01055326
1988,2,0.01237349
1989,2,0.05730715
1990,2,0.01875707
1991,2,0.01540733
1992,2,0.01714744
1993,2,0.01163413
1994,2,0.01908675
1995,2,0.01880307
1996,2,0.01710444
1997,2,0.01120148
1998,2,0.02082235
1999,2,0.01129538
2000,2,0.01619468
2001,2,0.0115571
2002,2,0.01286098
2003,2,0.0107606
2004,2,0.009819404
2005,2,0.01023214
2006,2,0.009120144
2007,2,0.005722537
2008,2,0.007567523
2009,2,0.004916081
2010,2,0.005813743
2011,2,0.007012272
2012,2,0.006151556
2013,2,0.006748062
2014,2,0.008135245
2015,2,0.007740497
2016,2,0.00608631
2017,2,0.007094734
2018,2,0.01089127
2019,2,0.007737549
2020,2,0.008503854
2021,2,0.008850093
2022,2,0.01319204
1954,3,6.946002e-05
1955,3,0.0009199827
1956,3,0.0004646534
1957,3,0.0003611964
1958,3,0.001526512
1959,3,0.001863383
1960,3,0.002051675
1961,3,0.002184119
1962,3,0.00206658
1963,3,0.002818044
1964,3,0.002391045
1965,3,0.00298307
1966,3,0.007065039
1967,3,0.008883902
1968,3,0.005912106
1969,3,0.005271054
1970,3,0.008638341
1971,3,0.0132642
1972,3,0.01301116
1973,3,0.02327454
1974,3,0.02865433
1975,3,0.011717
1976,3,0.007987764
1977,3,0.01276822
1978,3,0.01580397
1979,3,0.01383664
1980,3,0.01880494
1981,3,0.0188346
1982,3,0.01578557
1983,3,0.01996278
1984,3,0.03800353
1985,3,0.04046606
1986,3,0.04242408
1987,3,0.03340761
1988,3,0.0555069
1989,3,0.1950544
1990,3,0.07385827
1991,3,0.05121848
1992,3,0.05755504
1993,3,0.03851953
1994,3,0.05143426
1995,3,0.04333069
1996,3,0.04375535
1997,3,0.0329134
1998,3,0.05052626
1999,3,0.03425097
2000,3,0.04567982
2001,3,0.03848086
2002,3,0.04529773
2003,3,0.039641
2004,3,0.03629198
2005,3,0.03540737
2006,3,0.02666137
2007,3,0.01796953
2008,3,0.01911254
2009,3,0.0175362
2010,3,0.02328911
2011,3,0.01967461
2012,3,0.01835025
2013,3,0.02183834
2014,3,0.0260934
2015,3,0.02704096
2016,3,0.02569589
2017,3,0.02927341
2018,3,0.03503336
2019,3,0.02806268
2020,3,0.0359877
2021,3,0.02676573
2022,3,0.03308423
1954,4,0.000682852
1955,4,0.002817063
1956,4,0.001444293
1957,4,0.001236042
1958,4,0.004535903
1959,4,0.005459533
1960,4,0.005853939
1961,4,0.006731179
1962,4,0.006422286
1963,4,0.01080157
1964,4,0.008482829
1965,4,0.009491257
1966,4,0.02121761
1967,4,0.02610681
1968,4,0.01878113
1969,4,0.01826881
1970,4,0.02787276
1971,4,0.0396491
1972,4,0.03795836
1973,4,0.06879269
1974,4,0.08323754
1975,4,0.0335693
1976,4,0.02307205
1977,4,0.03707967
1978,4,0.0465707
1979,4,0.04012882
1980,4,0.0549544
1981,4,0.05611342
1982,4,0.04567464
1983,4,0.04532233
1984,4,0.048812
1985,4,0.05314827
1986,4,0.06667
1987,4,0.0467855
1988,4,0.07341335
1989,4,0.1981704
1990,4,0.08017807
1991,4,0.05397637
1992,4,0.07092632
1993,4,0.06655375
1994,4,0.06385004
1995,4,0.03623685
1996,4,0.04534242
1997,4,0.04247822
1998,4,0.05050349
1999,4,0.04470456
2000,4,0.04747171
2001,4,0.06219179
2002,4,0.08877832
2003,4,0.08136192
2004,4,0.08192233
2005,4,0.08020586
2006,4,0.05442401
2007,4,0.04161228
2008,4,0.03801527
2009,4,0.05207466
2010,4,0.06770973
2011,4,0.04170005
2012,4,0.04597987
2013,4,0.05208105
2014,4,0.05268548
2015,4,0.07024077
2016,4,0.07641195
2017,4,0.07908515
2018,4,0.07381514
2019,4,0.06039662
2020,4,0.08874762
2021,4,0.06273258
2022,4,0.04223936
1954,5,0.01457076
1955,5,0.01109819
1956,5,0.007600405
1957,5,0.008278383
1958,5,0.01417746
1959,5,0.01598852
1960,5,0.01523679
1961,5,0.02833861
1962,5,0.03136724
1963,5,0.02014496
1964,5,0.02486613
1965,5,0.02776515
1966,5,0.04846061
1967,5,0.04589073
1968,5,0.04133332
1969,5,0.06004722
1970,5,0.07531456
1971,5,0.08119513
1972,5,0.07941227
1973,5,0.1249747
1974,5,0.131866
1975,5,0.05949092
1976,5,0.04740158
1977,5,0.06254996
1978,5,0.07203297
1979,5,0.06464992
1980,5,0.1020662
1981,5,0.1180476
1982,5,0.1101798
1983,5,0.07624738
1984,5,0.06367256
1985,5,0.06440773
1986,5,0.08461625
1987,5,0.05574891
1988,5,0.08768944
1989,5,0.1244893
1990,5,0.07595552
1991,5,0.06569732
1992,5,0.07865626
1993,5,0.09085167
1994,5,0.1095244
1995,5,0.06590751
1996,5,0.07915139
1997,5,0.07140258
1998,5,0.09659637
1999,5,0.0658515
2000,5,0.08875069
2001,5,0.1204757
2002,5,0.2073823
2003,5,0.1595883
2004,5,0.1629786
2005,5,0.1803251
2006,5,0.1464921
2007,5,0.1157929
2008,5,0.1620405
2009,5,0.2892172
2010,5,0.2672416
2011,5,0.1217958
2012,5,0.1593394
2013,5,0.1727728
2014,5,0.1239493
2015,5,0.1226937
2016,5,0.1389912
2017,5,0.2470185
2018,5,0.1790713
2019,5,0.1454284
2020,5,0.1782324
2021,5,0.1469643
2022,5,0.1492107
1954,6,0.01554799
1955,6,0.01750369
1956,6,0.01164347
1957,6,0.01470025
1958,6,0.02407345
1959,6,0.03110164
1960,6,0.03753106
1961,6,0.04479569
1962,6,0.07408473
1963,6,0.06430496
1964,6,0.07517481
1965,6,0.1061721
1966,6,0.1449291
1967,6,0.1195685
1968,6,0.09960566
1969,6,0.1236078
1970,6,0.1569111
1971,6,0.1862436
1972,6,0.1961337
1973,6,0.2269603
1974,6,0.2335619
1975,6,0.1280719
1976,6,0.1132948
1977,6,0.1779514
1978,6,0.1629663
1979,6,0.1072013
1980,6,0.1579344
1981,6,0.210857
1982,6,0.2301121
1983,6,0.1624464
1984,6,0.1224906
1985,6,0.1075842
1986,6,0.1433232
1987,6,0.1079535
1988,6,0.1799984
1989,6,0.1450723
1990,6,0.1147944
1991,6,0.1712811
1992,6,0.148328
1993,6,0.1262561
1994,6,0.1595587
1995,6,0.1384677
1996,6,0.1670457
1997,6,0.1550044
1998,6,0.2620973
1999,6,0.1389647
2000,6,0.1686747
2001,6,0.3007991
2002,6,0.5196874
2003,6,0.4743111
2004,6,0.3561315
2005,6,0.4307427
2006,6,0.3756758
2007,6,0.3263433
2008,6,0.3269068
2009,6,0.5727229
2010,6,0.78435
2011,6,0.4134845
2012,6,0.4477965
2013,6,0.5075785
2014,6,0.4893903
2015,6,0.4315197
2016,6,0.3711483
2017,6,0.5190398
2018,6,0.5233184
2019,6,0.5068961
2020,6,0.4535483
2021,6,0.4832177
2022,6,0.5612259
1954,7,0.006306233
1955,7,0.01256184
1956,7,0.008277993
1957,7,0.01333496
1958,7,0.02085164
1959,7,0.03107553
1960,7,0.03723128
1961,7,0.03751107
1962,7,0.05934189
1963,7,0.06592925
1964,7,0.07977415
1965,7,0.1032708
1966,7,0.1406977
1967,7,0.1551276
1968,7,0.1275689
1969,7,0.1127823
1970,7,0.15556
1971,7,0.2229861
1972,7,0.2724313
1973,7,0.2647829
1974,7,0.2389445
1975,7,0.1529029
1976,7,0.1314835
1977,7,0.215683
1978,7,0.2381229
1979,7,0.1305637
1980,7,0.1567112
1981,7,0.1977052
1982,7,0.2315188
1983,7,0.1786276
1984,7,0.1411943
1985,7,0.1256955
1986,7,0.1599322
1987,7,0.1357488
1988,7,0.2005467
1989,7,0.1681939
1990,7,0.1150882
1991,7,0.193707
1992,7,0.207161
1993,7,0.1465132
1994,7,0.1578231
1995,7,0.1359306
1996,7,0.1668063
1997,7,0.1725016
1998,7,0.2948926
