year,age,n
1954,1,146.2822
1955,1,146.2822
1956,1,161.2242
1957,1,89.6015
1958,1,101.1932
1959,1,46.76076
1960,1,29.50836
1961,1,81.7338
1962,1,105.2978
1963,1,137.989
1964,1,40.83795
1965,1,16.21755
1966,1,72.3177
1967,1,50.71193
1968,1,54.78106
1969,1,47.18153
1970,1,32.16597
1971,1,35.64729
1972,1,41.40538
1973,1,76.6386
1974,1,108.0619
1975,1,52.90799
1976,1,29.65209
1977,1,31.08339
1978,1,36.68946
1979,1,46.35365
1980,1,65.9572
1981,1,53.6616
1982,1,45.0751
1983,1,53.03472
1984,1,66.1232
1985,1,27.96106
1986,1,50.62255
1987,1,44.03636
1988,1,82.1835
1989,1,81.0868
1990,1,34.8635
1991,1,87.0807
1992,1,53.76539
1993,1,67.5514
1994,1,72.7056
1995,1,95.2105
1996,1,55.8366
1997,1,49.63423
1998,1,33.31193
1999,1,116.8298
2000,1,29.63988
2001,1,109.9966
2002,1,106.5867
2003,1,87.7725
2004,1,57.3401
2005,1,57.2515
2006,1,91.6269
2007,1,118.511
2008,1,81.4249
2009,1,80.1696
2010,1,103.9529
2011,1,134.3661
2012,1,50.1903
2013,1,75.2137
2014,1,96.7816
2015,1,90.3537
2016,1,48.72273
2017,1,56.0591
2018,1,128.5148
2019,1,108.1858
2020,1,83.6351
2021,1,66.3662
2022,1,71.2155
1954,2,74.172
1955,2,74.1943
1956,2,74.2515
1957,2,81.8361
1958,2,45.48102
1959,2,51.32528
1960,2,23.71708
1961,2,14.96669
1962,2,41.45543
1963,2,53.40711
1964,2,69.9881
1965,2,20.71307
1966,2,8.22557
1967,2,36.67956
1968,2,25.72117
1969,2,27.78501
1970,2,23.93057
1971,2,16.31457
1972,2,18.08033
1973,2,21.00084
1974,2,38.87114
1975,2,54.80907
1976,2,26.83501
1977,2,15.03952
1978,2,15.76545
1979,2,18.60894
1980,2,23.51063
1981,2,33.45354
1982,2,27.21718
1983,2,22.87233
1984,2,26.90268
1985,2,33.51325
1986,2,14.16984
1987,2,25.67738
1988,2,22.31152
1989,2,41.69571
1990,2,41.05376
1991,2,17.68771
1992,2,44.11399
1993,2,27.21384
1994,2,34.22264
1995,2,36.79589
1996,2,48.18756
1997,2,28.28528
1998,2,25.16308
1999,2,16.8653
2000,2,59.22967
2001,2,15.0231
2002,2,55.73674
2003,2,54.02595
2004,2,44.46753
2005,2,29.05632
2006,2,29.02741
2007,2,46.44541
2008,2,60.11267
2009,2,41.30607
2010,2,40.65645
2011,2,52.75085
2012,2,68.1687
2013,2,25.46612
2014,2,38.13891
2015,2,49.07885
2016,2,45.83931
2017,2,24.70971
2018,2,28.41874
2019,2,65.1766
2020,2,54.86698
2021,2,42.41557
2022,2,33.63378
1954,3,42.6176
1955,3,42.63015
1956,3,42.64839
1957,3,42.67846
1958,3,47.03837
1959,3,26.13645
1960,3,29.494
1961,3,13.62879
1962,3,8.60032
1963,3,23.8219
1964,3,30.68805
1965,3,40.21688
1966,3,11.90152
1967,3,4.724516
1968,3,21.06401
1969,3,14.77513
1970,3,15.96171
1971,3,13.74307
1972,3,9.36514
1973,3,10.37891
1974,3,12.04382
1975,3,22.28088
1976,3,31.46666
1977,3,15.41176
1978,3,8.63359
1979,3,9.04776
1980,3,10.68154
1981,3,13.48878
1982,3,19.19339
1983,3,15.61963
1984,3,13.09184
1985,3,15.2453
1986,3,18.97736
1987,3,8.04367
1988,3,14.6069
1989,3,12.66954
1990,3,22.64048
1991,3,23.16349
1992,3,10.01232
1993,3,24.92425
1994,3,15.46101
1995,3,19.30082
1996,3,20.75575
1997,3,27.23134
1998,3,16.07772
1999,3,14.16726
2000,3,9.58565
2001,3,33.50364
2002,3,8.53568
2003,3,31.62816
2004,3,30.72047
2005,3,25.30964
2006,3,16.53295
2007,3,16.53287
2008,3,26.54614
2009,3,34.29697
2010,3,23.62565
2011,3,23.23716
2012,3,30.1131
2013,3,38.94789
2014,3,14.5401
2015,3,21.74611
2016,3,27.99682
2017,3,26.18975
2018,3,14.10215
2019,3,16.16076
2020,3,37.17679
2021,3,31.27245
2022,3,24.16476
1954,4,26.54049
1955,4,26.54662
1956,4,26.51989
1957,4,26.54241
1958,4,26.5621
1959,4,29.2585
1960,4,16.25185
1961,4,18.33619
1962,4,8.47181
1963,4,5.346658
1964,4,14.79816
1965,4,19.07186
1966,4,24.97952
1967,4,7.3627
1968,4,2.917523
1969,4,13.04548
1970,4,9.15633
1971,4,9.85903
1972,4,8.45033
1973,4,5.7599
1974,4,6.31924
1975,4,7.29409
1976,4,13.7209
1977,4,19.44898
1978,4,9.48112
1979,4,5.295377
1980,4,5.56021
1981,4,6.53248
1982,4,8.24868
1983,4,11.76784
1984,4,9.54114
1985,4,7.85443
1986,4,9.12446
1987,4,11.33443
1988,4,4.852726
1989,4,8.61281
1990,4,6.53392
1991,4,13.11253
1992,4,13.72327
1993,4,5.89632
1994,4,14.95042
1995,4,9.16172
1996,4,11.52251
1997,4,12.3819
1998,4,16.41489
1999,4,9.53009
2000,4,8.52845
2001,4,5.70668
2002,4,20.09336
2003,4,5.082265
2004,4,18.95021
2005,4,18.46884
2006,4,15.2211
2007,4,10.02806
2008,4,10.11571
2009,4,16.22026
2010,4,20.99518
2011,4,14.37793
2012,4,14.1908
2013,4,18.41205
2014,4,23.74133
2015,4,8.8252
2016,4,13.18241
2017,4,16.99695
2018,4,15.84759
2019,4,8.48269
2020,4,9.79017
2021,4,22.34411
