year,age,n
1952,1,974.77036375
1953,1,520.7772628
1954,1,1542.10017485
1955,1,1008.12469925
1956,1,1044.5660763
1957,1,1065.8690095
1958,1,1026.061418275
1959,1,538.8983395675
1960,1,620.802775925
1961,1,815.316197435
1962,1,796.24115975
1963,1,1025.428827925
1964,1,591.633667775
1965,1,610.9014574325
1966,1,676.4740654825
1967,1,690.66359115
1968,1,503.49519345
1969,1,983.050041675
1970,1,513.323967625
1971,1,564.86654865
1972,1,843.45389725
1973,1,459.98851515
1974,1,566.83793665
1975,1,761.748468675
1976,1,828.3330881
1977,1,531.932217575
1978,1,568.0174766
1979,1,639.7904115
1980,1,604.81466965
1981,1,626.238880525
1982,1,674.387538125
1983,1,609.1695187
1984,1,771.80382145
1985,1,723.074530175
1986,1,817.46539515
1987,1,618.86809995
1988,1,660.427387975
1989,1,566.759752525
1990,1,631.1882405
1991,1,524.344605175
1992,1,615.3894595
1993,1,624.664131
1994,1,607.0990197
1995,1,547.420204025
1996,1,625.1959122
1997,1,451.4534722
1998,1,702.04025675
1999,1,566.5751949
2000,1,583.08366175
2001,1,627.81851875
2002,1,608.528611
2003,1,552.769646925
2004,1,644.8248195
2005,1,624.55911825
2006,1,730.03294525
2007,1,670.85394425
2008,1,581.05490925
2009,1,554.35542425
2010,1,545.3473215
2011,1,580.86959
2012,1,700.18222475
2013,1,717.651454
2014,1,627.003633
2015,1,674.3546025
2016,1,628.7677605
2017,1,754.468441
2018,1,845.09505825
2019,1,662.24377725
2020,1,866.33860775
2021,1,675.78325175
1952,2,213.4898725
1953,2,213.3374575
1954,2,132.434742
1955,2,323.054222
1956,2,213.7560935
1957,2,235.617022
1958,2,215.4995825
1959,2,246.8259605
1960,2,123.981736975
1961,2,126.837275275
1962,2,183.48508825
1963,2,169.445557875
1964,2,200.0398899
1965,2,154.3797375
1966,2,125.074745625
1967,2,157.1523645
1968,2,143.98739415
1969,2,119.251867
1970,2,209.97042775
1971,2,117.309667
1972,2,118.748161725
1973,2,158.03467775
1974,2,116.789849
1975,2,99.96904525
1976,2,162.291641
1977,2,170.9475425
1978,2,119.60532875
1979,2,113.044293
1980,2,130.37931075
1981,2,113.908657
1982,2,131.09999775
1983,2,134.65463575
1984,2,120.7031585
1985,2,133.4870985
1986,2,154.5991975
1987,2,151.06572
1988,2,125.163237
1989,2,123.85220425
1990,2,91.3208406
1991,2,118.17216875
1992,2,83.3493328
1993,2,110.02632625
1994,2,106.11425275
1995,2,109.961266
1996,2,89.68319675
1997,2,109.8965665
1998,2,64.260612725
1999,2,117.6572778
2000,2,88.4689455
2001,2,95.4551075
2002,2,97.9170525
2003,2,99.52156775
2004,2,76.09161475
2005,2,101.72535975
2006,2,92.16720175
2007,2,118.1651525
2008,2,108.957381
2009,2,92.84647225
2010,2,87.64128875
2011,2,85.07918425
2012,2,93.4303995
2013,2,110.0512485
2014,2,113.4871715
2015,2,104.30905625
2016,2,110.90383625
2017,2,93.1884175
2018,2,111.35865175
2019,2,126.88202675
2020,2,104.01251775
2021,2,120.284438
1952,3,100.5989925
1953,3,100.4776
1954,3,100.3532925
1955,3,63.703791
1956,3,151.04841475
1957,3,99.86786275
1958,3,111.152241
1959,3,100.192745075
1960,3,117.4238335
1961,3,58.803997275
1962,3,58.89606305
1963,3,86.551339
1964,3,79.061700875
1965,3,92.31204845
1966,3,74.63104475
1967,3,58.141345975
1968,3,74.229994325
1969,3,67.08631635
1970,3,56.7060579
1971,3,97.78580895
1972,3,55.401692775
1973,3,55.227561225
1974,3,72.00343025
1975,3,55.508321075
1976,3,44.977552625
1977,3,75.36191175
1978,3,78.889559
1979,3,56.084988
1980,3,51.77485225
1981,3,59.57258875
1982,3,51.272412725
1983,3,59.85798625
1984,3,60.04787475
1985,3,54.31406625
1986,3,58.303854875
1987,3,70.259479725
1988,3,66.48532455
1989,3,55.969029
1990,3,53.27809375
1991,3,37.57038325
1992,3,49.30239325
1993,3,34.853295025
1994,3,46.63219775
1995,3,44.6596475
1996,3,46.687121325
1997,3,38.51914575
1998,3,45.217611075
1999,3,26.469221625
2000,3,48.85880785
2001,3,36.845159
2002,3,39.46605925
2003,3,40.62366
2004,3,40.27055775
2005,3,30.52357525
2006,3,41.384465075
2007,3,37.25266375
2008,3,48.7824515
2009,3,44.39007425
2010,3,37.664069
2011,3,34.760027
2012,3,34.264249225
2013,3,38.5320705
2014,3,45.03831425
2015,3,47.0220985
2016,3,43.72898375
2017,3,44.94599675
2018,3,38.144546
2019,3,45.767674
2020,3,52.596618
2021,3,43.223127
1952,4,54.9793585
1953,4,54.79749125
1954,4,54.68387325
1955,4,54.63351675
1956,4,34.979764775
1957,4,82.0010473
1958,4,54.01386675
1959,4,60.35844825
1960,4,54.04652375
1961,4,63.88014005
1962,4,31.829113
1963,4,31.66859325
1964,4,46.779174775
1965,4,42.66995175
1966,4,49.5064942
1967,4,40.673036775
1968,4,31.3083277
1969,4,40.180378825
1970,4,36.1112374
1971,4,30.787729225
1972,4,52.67437575
1973,4,30.02727345
1974,4,29.657095375
1975,4,38.531153
1976,4,30.066089575
1977,4,23.775496375
1978,4,40.0874531
1979,4,41.871644875
1980,4,29.715315375
1981,4,27.196521325
1982,4,31.422346125
1983,4,26.829746925
1984,4,31.47277835
1985,4,31.4350095
1986,4,28.596637425
1987,4,30.427782175
1988,4,36.9964104
1989,4,34.733954175
1990,4,28.72990075
1991,4,27.1680755
1992,4,18.726545325
1993,4,24.60118825
1994,4,17.278819375
1995,4,23.134118
1996,4,22.334466
1997,4,23.605625575
1998,4,18.61946255
1999,4,21.997778125
2000,4,12.813105375
2001,4,23.7693506
2002,4,17.9564295
2003,4,19.13980875
2004,4,19.69800075
2005,4,19.655313
2006,4,14.664377375
2007,4,20.092967025
2008,4,18.15009925
2009,4,23.33383325
2010,4,21.64214525
2011,4,18.0347095
2012,4,16.04351675
2013,4,16.082260375
2014,4,18.35192325
2015,4,20.98805975
2016,4,22.27286775
2017,4,20.4685635
2018,4,20.97013025
2019,4,17.981481
2020,4,22.10673125
2021,4,25.586859
1952,5,31.97328075
1953,5,31.849679
1954,5,31.7130465
1955,5,31.65225225
1956,5,31.6309135
1957,5,20.335932125
1958,5,47.22358545
1959,5,31.08237685
1960,5,34.776157225
1961,5,31.044477975
1962,5,36.718934625
1963,5,18.2861161
1964,5,18.12108535
1965,5,26.91479885
1966,5,24.458597775
1967,5,28.315586025
1968,5,23.51237605
1969,5,17.929551425
1970,5,23.0298314
1971,5,20.660795125
1972,5,17.692539875
1973,5,30.136609875
1974,5,17.146113075
1975,5,16.9170083
1976,5,21.837781
1977,5,17.06377875
1978,5,13.28366835
1979,5,22.473965525
1980,5,23.336891575
1981,5,16.5558209
1982,5,15.19110785
1983,5,17.5720663
1984,5,14.968040075
1985,5,17.671531175
1986,5,17.5691704
1987,5,16.1107231
1988,5,16.90898755
1989,5,20.830068475
1990,5,19.260617975
1991,5,15.856337725
1992,5,14.9185245
1993,5,10.14036255
1994,5,13.375897575
1995,5,9.2295612
1996,5,12.52044615
1997,5,12.0607908
1998,5,12.5250374
1999,5,9.897492475
2000,5,11.692926175
2001,5,6.65376595
2002,5,12.393597425
2003,5,9.2117468
2004,5,10.05533375
2005,5,10.35696575
2006,5,10.208802975
2007,5,7.68851445
2008,5,10.5948395
2009,5,9.311513625
2010,5,12.213151425
2011,5,11.2119735
2012,5,9.139968775
2013,5,8.068159425
2014,5,8.13023125
2015,5,8.9242957
2016,5,10.49743575
2017,5,11.2852035
2018,5,10.3555705
2019,5,10.44481025
2020,5,9.180810475
2021,5,11.548599
1952,6,19.161677
1953,6,19.10893325
1954,6,19.021119
1955,6,18.9369945
1956,6,18.90680925
1957,6,18.8951055
1958,6,12.1488678
1959,6,28.078379
1960,6,18.48006525
1961,6,20.6904109
1962,6,18.3856078
1963,6,21.800658625
1964,6,10.85767055
1965,6,10.750641265
1966,6,15.983660775
1967,6,14.4905502875
1968,6,16.767898
1969,6,13.98663135
1970,6,10.601089765
1971,6,13.6324583575
1972,6,12.230234
1973,6,10.476168075
1974,6,17.76335305
1975,6,10.1175027
1976,6,9.94703215
1977,6,12.738289875
1978,6,9.969141025
1979,6,7.6527348
1980,6,12.99446315
1981,6,13.49085585
1982,6,9.61821635
1983,6,8.817626425
1984,6,10.158370225
1985,6,8.6902665
1986,6,10.24633195
1987,6,10.211028175
1988,6,9.378518625
1989,6,9.753684125
1990,6,12.102887375
1991,6,11.053502525
1992,6,9.1263407
1993,6,8.497677325
1994,6,5.719575395
1995,6,7.5475539
1996,6,5.177882575
1997,6,7.0578166
1998,6,6.6916408
1999,6,7.0335954
2000,6,5.52487225
2001,6,6.4153845
2002,6,3.665528725
2003,6,6.79018925
2004,6,4.96491435
2005,6,5.5196514
2006,6,5.699920975
2007,6,5.63103745
2008,6,4.205944925
2009,6,5.814308925
2010,6,5.102006125
2011,6,6.68029975
2012,6,6.0067424
2013,6,4.792658425
2014,6,4.339737075
2015,6,4.25569045
2016,6,4.6899623
2017,6,5.5948353
2018,6,6.0125765
2019,6,5.50919165
2020,6,5.598011775
2021,6,4.96840875
1952,7,11.6686505
1953,7,11.64265925
1954,7,11.603389
1955,7,11.5472095
1956,7,11.500091
1957,7,11.4833275
1958,7,11.45357
1959,7,7.362818575
1960,7,16.986726075
1961,7,11.1802565
1962,7,12.4883897
1963,7,11.089871825
1964,7,13.1737854
1965,7,6.5645967425
1966,7,6.4867455225
1967,7,9.649800815
1968,7,8.746689345
1969,7,10.1101055025
1970,7,8.4471268625
1971,7,6.3793938575
1972,7,8.2184993825
1973,7,7.357694925
1974,7,6.277546475
1975,7,10.67101115
1976,7,6.0671228075
1977,7,5.93064117
1978,7,7.562912825
1979,7,5.90739461
1980,7,4.495184
1981,7,7.680245125
1982,7,8.00411295
1983,7,5.710009525
1984,7,5.207447875
1985,7,6.004562875
1986,7,5.14329455
1987,7,6.076394125
1988,7,6.044417925
1989,7,5.564342875
1990,7,5.73194725
1991,7,7.1330972
1992,7,6.4892341
1993,7,5.3433572
1994,7,4.93217795
1995,7,3.2776781
1996,7,4.3710553
1997,7,2.9667567975
1998,7,4.0290157
1999,7,3.8368282
2000,7,4.0639041
2001,7,3.135340775
2002,7,3.636467775
2003,7,2.07792984
2004,7,3.8510065875
2005,7,2.765349675
2006,7,3.12431945
2007,7,3.255998675
2008,7,3.183294875
2009,7,2.362178625
2010,7,3.320383225
2011,7,2.8751527
2012,7,3.711184875
2013,7,3.27519915
2014,7,2.624798425
2015,7,2.373071
2016,7,2.355711675
2017,7,2.585490175
2018,7,3.0730103
2019,7,3.292652875
2020,7,3.07722395
2021,7,3.13574005
1952,8,7.169756
1953,8,7.15496775
1954,8,7.13486225
1955,8,7.10870775
1956,8,7.07675275
1957,8,7.049041
1958,8,7.02593625
1959,8,6.997683
1960,8,4.501239375
1961,8,10.374747325
1962,8,6.812370625
1963,8,7.60958985
1964,8,6.7580300725
1965,8,8.04104105
1966,8,4.002586275
1967,8,3.9514436875
1968,8,5.8874859575
1969,8,5.3284689425
1970,8,6.1446009525
1971,8,5.138197885
1972,8,3.88007643
1973,8,4.994982725
1974,8,4.45287939
1975,8,3.8004575775
1976,8,6.4667467975
1977,8,3.659693225
1978,8,3.5666166725
1979,8,4.523214575
1980,8,3.5227282575
1981,8,2.678700975
1982,8,4.60954743
1983,8,4.8049923925
1984,8,3.4140819
1985,8,3.113466525
1986,8,3.58458105
1987,8,3.084454465
1988,8,3.637488005
1989,8,3.618827375
1990,8,3.328768725
1991,8,3.39940135
1992,8,4.2530674025
1993,8,3.8424668225
1994,8,3.154076525
1995,8,2.87384405
1996,8,1.9064275825
1997,8,2.551951075
1998,8,1.70614234
1999,8,2.33977985
2000,8,2.234722865
2001,8,2.3544315325
2002,8,1.8113395325
2003,8,2.0921903375
2004,8,1.20094779
2005,8,2.213135475
2006,8,1.5785473
2007,8,1.810160275
2008,8,1.879744525
2009,8,1.819936625
2010,8,1.36276075
2011,8,1.914375125
2012,8,1.624124475
2013,8,2.0801433
2014,8,1.836158775
2015,8,1.447420325
2016,8,1.3446491225
2017,8,1.33565475
2018,8,1.4494025
2019,8,1.716379325
2020,8,1.869292975
2021,8,1.7661056
1952,9,4.42814
1953,9,4.419250125
1954,9,4.4076133
1955,9,4.3938471
1956,9,4.379263075
1957,9,4.360347275
1958,9,4.335525625
1959,9,4.315134125
1960,9,4.297581275
1961,9,2.765555235
1962,9,6.35669398
1963,9,4.17377085
1964,9,4.663895025
1965,9,4.1436988475
1966,9,4.9298089675
1967,9,2.4514802775
1968,9,2.42183779
1969,9,3.6086341
1970,9,3.2584745325
1971,9,3.7539727925
1972,9,3.1450638825
1973,9,2.369265865
1974,9,3.0401288275
1975,9,2.713885535
1976,9,2.3125832075
1977,9,3.9257218725
1978,9,2.2165831625
1979,9,2.150970765
1980,9,2.713758725
1981,9,2.11525359
1982,9,1.61531443
1983,9,2.7862170625
1984,9,2.8930568375
1985,9,2.05600098
1986,9,1.8712879375
1987,9,2.15995005
1988,9,1.85863966
1989,9,2.1916316675
1990,9,2.175023925
1991,9,1.9945885125
1992,9,2.03002221
1993,9,2.5413822
1994,9,2.28076881
1995,9,1.8584431775
1996,9,1.69003235
1997,9,1.11433225
1998,9,1.487706975
1999,9,0.995723365
2000,9,1.37481109
2001,9,1.3007009875
2002,9,1.37466778
2003,9,1.05289699
2004,9,1.2215972725
2005,9,0.69826246
2006,9,1.2842218575
2007,9,0.9179610775
2008,9,1.053541075
2009,9,1.08777163
2010,9,1.0610242575
2011,9,0.791140465
2012,9,1.10162269
2013,9,0.9220627975
2014,9,1.1845353625
2015,9,1.027921225
2016,9,0.8242744475
2017,9,0.7719267025
2018,9,0.7607869625
2019,9,0.82015717
2020,9,0.9842946775
2021,9,1.08260195
1952,10,4.5401391
1953,10,5.5490247
1954,10,6.16500255
1955,10,6.5370241
1956,10,6.761099875
1957,10,6.8920193
1958,10,6.948950475
1959,10,6.95914835
1960,10,6.95254165
1961,10,6.937554
1962,10,5.9726529025
1963,10,7.58356505
1964,10,7.23750605
1965,10,7.3306147
1966,10,7.061318645
1967,10,7.375747835
1968,10,6.0528353775
1969,10,5.2162208725
1970,10,5.4232943325
1971,10,5.33004201
1972,10,5.5805054275
1973,10,5.3551307575
1974,10,4.7236147925
1975,10,4.753194145
1976,10,4.568316235
1977,10,4.194001855
1978,10,4.943118295
1979,10,4.34742257
1980,10,3.9271735925
1981,10,4.013297025
1982,10,3.7178075025
1983,10,3.237635135
1984,10,3.6459854925
1985,10,3.960383565
1986,10,3.6385040125
1987,10,3.340560725
1988,10,3.32948815
1989,10,3.142844925
1990,10,3.223066775
1991,10,3.248191825
1992,10,3.1577706225
1993,10,3.11125315
1994,10,3.37819594
1995,10,3.35351866
1996,10,3.098290395
1997,10,2.8331469875
1998,10,2.31235249825
1999,10,2.23615845
2000,10,1.909449795
2001,10,1.9242880275
2002,10,1.8915723575
2003,10,1.9117269275
2004,10,1.74493649
2005,10,1.7376530175
2006,10,1.4265701725
2007,10,1.59753161
2008,10,1.474059615
2009,10,1.47181976
2010,10,1.5038353375
2011,10,1.4996554025
2012,10,1.3241696125
2013,10,1.3930833725
2014,10,1.334127115
2015,10,1.429803505
2016,10,1.41523849
2017,10,1.2936985775
2018,10,1.187029545
2019,10,1.11641861
2020,10,1.1214732275
2021,10,1.22923211
