year,age,n
1952,0,1844.514
1953,0,1844.668
1954,0,1844.641
1955,0,1844.452
1956,0,1844.157
1957,0,1843.91
1958,0,1843.763
1959,0,1843.481
1960,0,1843.162
1961,0,1842.959
1962,0,1842.623
1963,0,1842.299
1964,0,1841.876
1965,0,1841.719
1966,0,1841.188
1967,0,1840.542
1968,0,1840.027
1969,0,1827.463
1970,0,1824.063
1971,0,1820.249
1972,0,1814.7
1973,0,1808.549
1974,0,1802.021
1975,0,1794.738
1976,0,1786.034
1977,0,1775.047
1978,0,1763.424
1979,0,1753.862
1980,0,1743.445
1981,0,1740.18
1982,0,1745.644
1983,0,1726.11
1984,0,1886.901
1985,0,1708.91
1986,0,1613.135
1987,0,1755.345
1988,0,1900.527
1989,0,2046.476
1990,0,3063.717
1991,0,1748.514
1992,0,2244.936
1993,0,2032.293
1994,0,2215.381
1995,0,1422.108
1996,0,1037.007
1997,0,1761.045
1998,0,2082.372
1999,0,832.991
2000,0,1223.323
2001,0,2172.498
2002,0,1208.674
2003,0,1572.46
2004,0,1829.685
2005,0,2044.627
2006,0,2667.874
2007,0,1230.396
2008,0,2654.728
2009,0,2513.731
2010,0,2345.914
2011,0,1683.896
2012,0,1954.883
2013,0,1622.582
2014,0,622.958
2015,0,1334.963
2016,0,727.9608
2017,0,1184.992
2018,0,1218.366
2019,0,2402.479
2020,0,1476.487
2021,0,853.466
2022,0,1727.402
2023,0,1728.651
1952,1,932.092
1953,1,932.07
1954,1,932.136
1955,1,931.958
1956,1,931.885
1957,1,931.758
1958,1,931.531
1959,1,931.412
1960,1,931.344
1961,1,931.208
1962,1,930.897
1963,1,930.785
1964,1,930.389
1965,1,930.536
1966,1,930.177
1967,1,929.884
1968,1,929.557
1969,1,929.366
1970,1,923.156
1971,1,921.316
1972,1,919.25
1973,1,916.542
1974,1,913.492
1975,1,909.917
1976,1,906.222
1977,1,901.549
1978,1,896.517
1979,1,890.555
1980,1,885.267
1981,1,879.926
1982,1,878.078
1983,1,881.2
1984,1,871.619
1985,1,952.456
1986,1,862.356
1987,1,814.338
1988,1,885.995
1989,1,958.485
1990,1,1032.742
1991,1,1545.875
1992,1,882.666
1993,1,1132.888
1994,1,1025.735
1995,1,1117.471
1996,1,717.5908
1997,1,523.1617
1998,1,888.138
1999,1,1048.718
2000,1,419.3318
2001,1,615.9956
2002,1,1092.816
2003,1,606.405
2004,1,790.359
2005,1,917.798
2006,1,1028.341
2007,1,1339.317
2008,1,618.5427
2009,1,1332.361
2010,1,1260.62
2011,1,1179.164
2012,1,844.149
2013,1,980.678
2014,1,813.331
2015,1,311.8547
2016,1,667.6227
2017,1,364.1533
2018,1,592.4208
2019,1,608.5109
2020,1,1203.043
2021,1,741.86
2022,1,428.8348
2023,1,866.712
1952,2,599.459
1953,2,599.404
1954,2,599.3189
1955,2,598.7298
1956,2,598.5276
1957,2,598.6396
1958,2,598.5049
1959,2,597.9184
1960,2,597.8737
1961,2,598.1648
1962,2,597.4708
1963,2,597.1944
1964,2,596.384
1965,2,597.276
1966,2,595.7443
1967,2,595.3405
1968,2,595.7214
1969,2,594.463
1970,2,595.3563
1971,2,591.2399
1972,2,588.7945
1973,2,587.5617
1974,2,586.2667
1975,2,583.209
1976,2,582.2341
1977,2,578.0381
1978,2,578.0815
1979,2,574.231
1980,2,568.8057
1981,2,564.8102
1982,2,560.796
1983,2,559.9814
1984,2,563.5801
1985,2,556.5605
1986,2,606.8286
1987,2,550.328
1988,2,519.4944
1989,2,562.6946
1990,2,610.234
1991,2,658.1147
1992,2,986.781
1993,2,562.5403
1994,2,722.994
1995,2,652.5673
1996,2,712.884
1997,2,456.1774
1998,2,331.1461
1999,2,558.721
2000,2,657.3805
2001,2,262.4685
2002,2,383.17
2003,2,675.355
2004,2,376.6512
2005,2,486.8446
2006,2,572.3345
2007,2,635.7568
2008,2,831.389
2009,2,383.2905
2010,2,825.503
2011,2,787.659
2012,2,728.942
2013,2,522.2847
2014,2,606.2921
2015,2,499.7892
2016,2,190.9621
2017,2,410.2993
2018,2,223.176
2019,2,360.5324
2020,2,374.5732
2021,2,750.679
2022,2,462.9616
2023,2,266.626
1952,3,419.1565
1953,3,419.0938
1954,3,418.9727
1955,3,418.1886
1956,3,417.4443
1957,3,417.5225
1958,3,417.7502
1959,3,417.048
1960,3,416.4672
1961,3,416.9668
1962,3,416.3621
1963,3,415.9993
1964,3,414.921
1965,3,415.6699
1966,3,414.4806
1967,3,412.9827
1968,3,413.354
1969,3,412.4123
1970,3,412.5038
1971,3,413.2721
1972,3,408.6076
1973,3,406.903
1974,3,406.673
1975,3,404.6405
1976,3,404.1696
1977,3,401.2803
1978,3,401.9314
1979,3,401.403
1980,3,396.5529
1981,3,392.169
1982,3,388.267
1983,3,385.8876
1984,3,387.4141
1985,3,389.1602
1986,3,382.8994
1987,3,417.9752
1988,3,378.9958
1989,3,354.8578
1990,3,386.2873
1991,3,419.8695
1992,3,454.0096
1993,3,678.75
1994,3,387.9766
1995,3,495.8011
1996,3,449.9358
1997,3,488.3274
1998,3,310.0557
1999,3,222.7808
2000,3,373.636
2001,3,437.0505
2002,3,172.6219
2003,3,249.8155
2004,3,441.7247
2005,3,243.3234
2006,3,320.4763
2007,3,370.0343
2008,3,411.5723
2009,3,541.0825
2010,3,250.9196
2011,3,547.0494
2012,3,513.361
2013,3,474.5903
2014,3,340.24
2015,3,391.2684
2016,3,320.6991
2017,3,123.6546
2018,3,264.6313
2019,3,141.8019
2020,3,233.4819
2021,3,247.0207
2022,3,495.7604
2023,3,304.7737
1952,4,306.4313
1953,4,306.3804
1954,4,306.2636
1955,4,305.5699
1956,4,304.6355
1957,4,304.305
1958,4,304.5617
1959,4,304.1899
1960,4,303.4703
1961,4,303.5143
1962,4,303.1779
1963,4,302.9136
1964,4,301.9312
1965,4,302.2179
1966,4,301.3158
1967,4,300.0066
1968,4,299.4236
1969,4,298.7424
1970,4,298.7206
1971,4,299.0245
1972,4,297.8738
1973,4,294.4983
1974,4,293.931
1975,4,292.8327
1976,4,292.7965
1977,4,290.5706
1978,4,291.4246
1979,4,291.5642
1980,4,289.2164
1981,4,285.2284
1982,4,280.8725
1983,4,278.3888
1984,4,278.5435
1985,4,279.1407
1986,4,279.3162
1987,4,274.8499
1988,4,300.0428
1989,4,269.5873
1990,4,253.9785
1991,4,277.2089
1992,4,302.2103
1993,4,325.6863
1994,4,488.6273
1995,4,277.5
1996,4,356.8623
1997,4,321.4888
1998,4,345.788
1999,4,217.202
2000,4,155.0861
2001,4,258.1403
2002,4,298.3853
2003,4,116.833
2004,4,169.08
2005,4,295.1873
2006,4,165.5989
2007,4,213.5664
2008,4,245.8379
2009,4,276.4505
2010,4,367.3803
2011,4,172.5135
2012,4,369.6544
2013,4,345.9337
2014,4,320.3299
2015,4,227.5033
2016,4,259.9114
2017,4,215.59
2018,4,82.7699
2019,4,174.0633
2020,4,95.1206
2021,4,159.2436
2022,4,168.9648
2023,4,338.2674
1952,5,230.142
1953,5,230.1054
1954,5,230.0124
1955,5,229.4606
1956,5,228.6631
1957,5,228.1315
1958,5,228.0554
1959,5,227.827
1960,5,227.3909
1961,5,227.1935
1962,5,226.7124
1963,5,226.5695
1964,5,225.858
1965,5,225.9134
1966,5,225.0112
1967,5,223.9941
1968,5,223.4018
1969,5,222.1985
1970,5,222.1619
1971,5,222.3583
1972,5,221.1448
1973,5,220.2818
1974,5,218.4143
1975,5,217.2708
1976,5,217.637
1977,5,216.1407
1978,5,216.7807
1979,5,217.1792
1980,5,215.7739
1981,5,213.648
1982,5,209.7107
1983,5,206.7118
1984,5,206.3433
1985,5,206.1072
1986,5,205.8013
1987,5,205.8426
1988,5,202.5728
1989,5,219.1897
1990,5,198.1635
1991,5,187.2101
1992,5,204.9216
1993,5,222.6159
1994,5,240.8794
1995,5,359.1231
1996,5,205.242
1997,5,261.9625
1998,5,233.7016
1999,5,248.816
2000,5,155.3805
2001,5,110.1316
2002,5,181.1921
2003,5,207.7887
2004,5,81.246
2005,5,116.2498
2006,5,206.2805
2007,5,113.4494
2008,5,145.5993
2009,5,169.8844
2010,5,193.4575
2011,5,259.9063
2012,5,120.1297
2013,5,256.5367
2014,5,240.5488
2015,5,220.9286
2016,5,155.8946
2017,5,180.2329
2018,5,148.9307
2019,5,56.2361
2020,5,120.2954
2021,5,66.7196
2022,5,112.0468
2023,5,118.6543
1952,6,175.9189
1953,6,175.8933
1954,6,175.824
1955,6,175.4027
1956,6,174.7871
1957,6,174.3025
1958,6,174.0339
1959,6,173.6559
1960,6,173.3751
1961,6,173.2803
1962,6,172.7675
1963,6,172.4475
1964,6,171.9828
1965,6,172.0111
1966,6,171.1923
1967,6,170.259
1968,6,169.7799
1969,6,168.6981
1970,6,168.131
1971,6,168.2794
1972,6,167.2335
1973,6,166.3158
1974,6,166.2479
1975,6,164.2787
1976,6,164.374
1977,6,163.5296
1978,6,164.1692
1979,6,164.4673
1980,6,163.6497
1981,6,162.2854
1982,6,159.9116
1983,6,157.0938
1984,6,155.9561
1985,6,155.4242
1986,6,154.7392
1987,6,154.4106
1988,6,154.455
1989,6,150.7497
1990,6,164.0756
1991,6,148.7488
1992,6,140.8941
1993,6,153.6654
1994,6,167.6701
1995,6,180.3617
1996,6,270.5314
1997,6,153.4507
1998,6,193.8498
1999,6,171.3115
2000,6,181.4264
2001,6,112.5602
2002,6,78.9082
2003,6,128.8974
2004,6,147.519
2005,6,57.122
2006,6,82.9147
2007,6,144.5187
2008,6,79.0712
2009,6,102.9769
2010,6,121.7224
2011,6,139.8942
2012,6,185.3633
2013,6,85.363
2014,6,182.6356
2015,6,170.071
2016,6,155.2478
2017,6,110.7417
2018,6,127.6395
2019,6,103.9293
2020,6,39.79424
2021,6,86.2657
2022,6,47.9856
2023,6,80.4693
1952,7,136.1143
1953,7,136.0965
1954,7,136.0462
1955,7,135.73
1956,7,135.2682
1957,7,134.8826
1958,7,134.6156
1959,7,134.1661
1960,7,133.8034
1961,7,133.7523
1962,7,133.4222
1963,7,133.0381
1964,7,132.5459
1965,7,132.5989
1966,7,131.9622
1967,7,131.1536
1968,7,130.6568
1969,7,129.7811
1970,7,129.1956
1971,7,128.9091
1972,7,128.0408
1973,7,127.2449
1974,7,127.0699
1975,7,126.581
1976,7,125.8372
1977,7,125.0636
1978,7,125.7728
1979,7,126.1195
1980,7,125.5197
1981,7,124.6552
1982,7,123.0192
1983,7,121.3057
1984,7,120.0086
1985,7,118.9503
1986,7,118.2035
1987,7,117.5921
1988,7,117.3515
1989,7,116.4886
1990,7,114.3222
1991,7,124.7669
1992,7,113.3752
1993,7,106.9921
1994,7,117.2379
1995,7,127.2282
1996,7,137.6454
1997,7,204.9416
1998,7,115.0302
1999,7,144.0504
2000,7,126.6952
2001,7,133.406
2002,7,81.9232
2003,7,57.0596
2004,7,92.9723
2005,7,105.5262
2006,7,41.38855
2007,7,59.1065
2008,7,102.4828
2009,7,56.9434
2010,7,75.1179
2011,7,89.4918
2012,7,101.6455
2013,7,134.1761
2014,7,61.886
2015,7,131.6302
2016,7,121.859
2017,7,112.3288
2018,7,79.9421
2019,7,90.949
2020,7,74.9025
2021,7,29.02649
2022,7,63.086
2023,7,35.05834
1952,8,106.2379
1953,8,106.2254
1954,8,106.1893
1955,8,105.954
1956,8,105.6104
1957,8,105.3158
1958,8,105.0986
1959,8,104.7088
1960,8,104.3103
1961,8,104.1446
1962,8,103.9207
1963,8,103.6589
1964,8,103.1897
1965,8,103.1054
1966,8,102.65
1967,8,102.0251
1968,8,101.5604
1969,8,100.7808
1970,8,100.2698
1971,8,99.9404
1972,8,98.9246
1973,8,98.2625
1974,8,98.1058
1975,8,97.6392
1976,8,97.8473
1977,8,96.6363
1978,8,97.0662
1979,8,97.5098
1980,8,97.1625
1981,8,96.5143
1982,8,95.3883
1983,8,94.2044
1984,8,93.5262
1985,8,92.3815
1986,8,91.3383
1987,8,90.6865
1988,8,90.2257
1989,8,89.4057
1990,8,89.2064
1991,8,87.7751
1992,8,95.9955
1993,8,86.9064
1994,8,82.4105
1995,8,89.8519
1996,8,98.0345
1997,8,105.3128
1998,8,155.1794
1999,8,86.3987
2000,8,107.7261
2001,8,94.2646
2002,8,98.3107
2003,8,60.0172
2004,8,41.67758
2005,8,67.4297
2006,8,77.4246
2007,8,29.91326
2008,8,42.4924
2009,8,74.8524
2010,8,42.118
2011,8,55.9406
2012,8,65.9685
2013,8,74.6627
2014,8,98.6746
2015,8,45.2801
2016,8,95.7622
2017,8,89.44
2018,8,82.3124
2019,8,57.9043
2020,8,66.5016
2021,8,55.369
2022,8,21.50539
2023,8,46.7099
1952,9,83.4575
1953,9,83.4484
1954,9,83.422
1955,9,83.2475
1956,9,82.9929
1957,9,82.7707
1958,9,82.6036
1959,9,82.297
1960,9,81.9575
1961,9,81.7288
1962,9,81.465
1963,9,81.2785
1964,9,80.9545
1965,9,80.8055
1966,9,80.3683
1967,9,79.9157
1968,9,79.5459
1969,9,78.8817
1970,9,78.3856
1971,9,78.0898
1972,9,77.1962
1973,9,76.4199
1974,9,76.2914
1975,9,75.9179
1976,9,75.9994
1977,9,75.6807
1978,9,75.5157
1979,9,75.7756
1980,9,75.6625
1981,9,75.2496
1982,9,74.3922
1983,9,73.5814
1984,9,73.1464
1985,9,72.5059
1986,9,71.4645
1987,9,70.5919
1988,9,70.0965
1989,9,69.2856
1990,9,68.9875
1991,9,69.0011
1992,9,68.0247
1993,9,74.1213
1994,9,67.4297
1995,9,63.6485
1996,9,69.7467
1997,9,75.5891
1998,9,80.3871
1999,9,117.57
2000,9,65.1978
2001,9,80.919
2002,9,70.1732
2003,9,72.7923
