year,age,f
1952,1,0.0009414263002935
1953,1,0.00190178442338
1954,1,0.00425614894975175
1955,1,0.00146666680081675
1956,1,0.001893177176544
1957,1,0.00091838567812725
1958,1,0.00078038339543
1959,1,0.0026562252382875
1960,1,0.0018878472022485
1961,1,0.0015736143536365
1962,1,0.00281009873296
1963,1,0.00135463892895525
1964,1,0.00172187467988375
1965,1,0.00142927758990425
1966,1,0.0014895085219975
1967,1,0.0019555143815765
1968,1,0.00172503678848
1969,1,0.0029813681097445
1970,1,0.06723185
1971,1,0.054979656425
1972,1,0.05932893925
1973,1,0.06861343475
1974,1,0.0987211705
1975,1,0.08400181665
1976,1,0.0660563735
1977,1,0.10358595275
1978,1,0.079863951325
1979,1,0.094836243225
1980,1,0.144741468725
1981,1,0.1426230055
1982,1,0.133400612
1983,1,0.18566358795
1984,1,0.17927058625
1985,1,0.120097941675
1986,1,0.172049716
1987,1,0.1649811877
1988,1,0.1515415592
1989,1,0.410326113
1990,1,0.1977434524
1991,1,0.4250160985
1992,1,0.240820038925
1993,1,0.2327249205
1994,1,0.3418342895
1995,1,0.51484487375
1996,1,0.33493133375
1997,1,0.640856106
1998,1,0.318473355
1999,1,0.3836954795
2000,1,0.32885283675
2001,1,0.33997309425
2002,1,0.33320571275
2003,1,0.517762745
2004,1,0.43474715725
2005,1,0.4076024975
2006,1,0.30188869475
2007,1,0.333923225
2008,1,0.340628802
2009,1,0.34611439175
2010,1,0.32827105425
2011,1,0.313078008
2012,1,0.338622466
2013,1,0.36139048075
2014,1,0.31837933375
2015,1,0.31886901875
2016,1,0.42629432225
2017,1,0.42852146825
2018,1,0.458801301
2019,1,0.5696088125
2020,1,0.6119921135
2021,1,0.70100200525
1952,2,0.00121830811
1953,2,0.00208217368
1954,2,0.00293088034
1955,2,0.0021024342525
1956,2,0.0014030770275
1957,2,0.0010571992725
1958,2,0.00164435809
1959,2,0.0022464664425
1960,2,0.001839699045
1961,2,0.0031213154825
1962,2,0.0030843928225
1963,2,0.0019708129975
1964,2,0.002389400325
1965,2,0.00289598225
1966,2,0.0022977446725
1967,2,0.002365327825
1968,2,0.0022066229
1969,2,0.003171188175
1970,2,0.012228841
1971,2,0.014798841
1972,2,0.01597416075
1973,2,0.01371481975
1974,2,0.024819857
1975,2,0.0208051635
1976,2,0.0187336055
1977,2,0.0214213685
1978,2,0.023847748
1979,2,0.030847452
1980,2,0.0355025235
1981,2,0.04220937225
1982,2,0.043778884
1983,2,0.06423955925
1984,2,0.061723677
1985,2,0.0661489095
1986,2,0.0579448755
1987,2,0.06197504225
1988,2,0.06089728375
1989,2,0.09803296
1990,2,0.1040360725
1991,2,0.1464917925
1992,2,0.1322962325
1993,2,0.124897405
1994,2,0.109899535
1995,2,0.1441126825
1996,2,0.1003474725
1997,2,0.139645175
1998,2,0.1293252175
1999,2,0.12366919
2000,2,0.1322680125
2001,2,0.126410225
2002,2,0.1097563425
2003,2,0.17793686
2004,2,0.1687964925
2005,2,0.161369685
2006,2,0.1490463675
2007,2,0.134140815
2008,2,0.1544830275
2009,2,0.160813365
2010,2,0.1714431875
2011,2,0.1302387
2012,2,0.1310842575
2013,2,0.135063755
2014,2,0.12264905
2015,2,0.1084143225
2016,2,0.13733817
2017,2,0.1389509575
2018,2,0.1342973125
2019,2,0.1098940925
2020,2,0.15362392
2021,2,0.13271108
1952,3,0.003383242575
1953,3,0.004568670375
1954,3,0.004476879025
1955,3,0.003956154725
1956,3,0.00383728975
1957,3,0.005768687825
1958,3,0.006198520275
1959,3,0.0069157382
1960,3,0.0080158177
1961,3,0.009881028
1962,3,0.0130127615
1963,3,0.01063466155
1964,3,0.0088666955
1965,3,0.00876351575
1966,3,0.0120061965
1967,3,0.0086376575
1968,3,0.0097762905
1969,3,0.010829527
1970,3,0.0108312925
1971,3,0.01075444325
1972,3,0.01086701525
1973,3,0.015415334
1974,3,0.01485171675
1975,3,0.0145087955
1976,3,0.0190020955
1977,3,0.02255331225
1978,3,0.024779998
1979,3,0.0278855895
1980,3,0.03473282025
1981,3,0.031407094
1982,3,0.034477517
1983,3,0.04245286175
1984,3,0.0442755295
1985,3,0.04171059125
1986,3,0.0364911915
1987,3,0.0476734925
1988,3,0.044261051
1989,3,0.07322891825
1990,3,0.07890283
1991,3,0.090626865
1992,3,0.10688513
1993,3,0.108992725
1994,3,0.1063228775
1995,3,0.094677815
1996,3,0.076723925
1997,3,0.1140358425
1998,3,0.141842115
1999,3,0.1126543375
2000,3,0.11832387
2001,3,0.1064744275
2002,3,0.1125401975
2003,3,0.1332490725
2004,3,0.13019022
2005,3,0.134767385
2006,3,0.12873267
2007,3,0.110115005
2008,3,0.1359875325
2009,3,0.11243979
2010,3,0.135209555
2011,3,0.14674937
2012,3,0.1659987775
2013,3,0.11486107
2014,3,0.14324799
2015,3,0.13547913
2016,3,0.15318606
2017,3,0.1586722425
2018,3,0.130927085
2019,3,0.1256347325
2020,3,0.125013
2021,3,0.1335674725
1952,4,0.003997841675
1953,4,0.005328384475
1954,4,0.005206473175
1955,4,0.005046582775
1956,4,0.00469098475
1957,4,0.0080566105
1958,4,0.0093025815
1959,4,0.0095710615
1960,4,0.011278927
1961,4,0.0138372
1962,4,0.016611486
1963,4,0.01549951675
1964,4,0.0128031695
1965,4,0.012982115
1966,4,0.01643502525
1967,4,0.0117483855
1968,4,0.0146062535
1969,4,0.0157739045
1970,4,0.016881519
1971,4,0.01532618625
1972,4,0.01606356925
1973,4,0.0216496345
1974,4,0.0209903435
1975,4,0.0208468055
1976,4,0.02819781625
