Year,1,2,3,4,5,6,7,8,9,10,11,12
1954,0,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00
1955,0,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1956,0,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
1957,0,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1958,0,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
1959,0,0.00,0.00,0.01,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02
1960,0,0.00,0.00,0.01,0.02,0.04,0.04,0.03,0.03,0.03,0.02,0.02
1961,0,0.00,0.00,0.01,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.02
1962,0,0.00,0.00,0.01,0.03,0.07,0.06,0.04,0.03,0.03,0.03,0.03
1963,0,0.00,0.00,0.01,0.02,0.06,0.07,0.05,0.04,0.04,0.04,0.04
1964,0,0.00,0.00,0.01,0.02,0.08,0.08,0.06,0.05,0.04,0.04,0.04
1965,0,0.00,0.00,0.01,0.03,0.11,0.10,0.08,0.06,0.05,0.05,0.05
1966,0,0.00,0.01,0.02,0.05,0.14,0.14,0.11,0.10,0.09,0.09,0.08
1967,0,0.00,0.01,0.03,0.05,0.12,0.16,0.14,0.12,0.11,0.10,0.10
1968,0,0.00,0.01,0.02,0.04,0.10,0.13,0.11,0.10,0.09,0.09,0.08
1969,0,0.00,0.01,0.02,0.06,0.12,0.11,0.09,0.08,0.07,0.07,0.06
1970,0,0.00,0.01,0.03,0.08,0.16,0.16,0.13,0.11,0.11,0.10,0.09
1971,0,0.00,0.01,0.04,0.08,0.19,0.22,0.19,0.16,0.15,0.14,0.13
1972,0,0.00,0.01,0.04,0.08,0.20,0.27,0.23,0.18,0.16,0.14,0.14
1973,0,0.00,0.02,0.07,0.12,0.23,0.26,0.24,0.21,0.19,0.18,0.18
1974,0,0.00,0.03,0.08,0.13,0.23,0.24,0.21,0.19,0.18,0.17,0.16
1975,0,0.00,0.01,0.03,0.06,0.13,0.15,0.14,0.12,0.11,0.10,0.10
1976,0,0.00,0.01,0.02,0.05,0.11,0.13,0.11,0.10,0.09,0.08,0.08
