Year,1,2,3,4,5,6,7,8,9,10,11,12
1954,146,74,43,27,18,12,9,6,5,3,3,10
1955,146,74,43,27,18,12,9,6,5,3,3,10
1956,161,74,43,27,18,12,9,6,5,3,3,9
1957,90,82,43,27,18,12,9,6,5,3,2,8
1958,101,45,47,27,18,12,9,6,4,3,2,8
1959,47,51,26,29,18,12,9,6,4,3,2,8
1960,30,24,29,16,19,12,9,6,4,3,2,7
1961,82,15,14,18,11,14,8,6,4,3,2,7
1962,105,41,9,8,12,7,9,6,4,3,2,7
1963,138,53,24,5,6,8,5,6,4,3,2,6
1964,41,70,31,15,4,4,6,3,4,3,2,6
1965,16,21,40,19,10,2,3,4,2,3,2,6
1966,72,8,12,25,13,7,2,2,3,2,2,5
1967,51,37,5,7,16,8,4,1,1,2,1,5
1968,55,26,21,3,5,11,5,3,1,1,1,4
1969,47,28,15,13,2,3,7,3,2,0,0,4
1970,32,24,16,9,9,1,2,5,2,1,0,3
1971,36,16,14,10,6,6,1,1,3,1,1,2
1972,41,18,9,8,6,4,3,0,1,2,1,2
1973,77,21,10,6,5,4,2,2,0,0,1,2
1974,108,39,12,6,4,3,2,1,1,0,0,2
1975,53,55,22,7,4,2,2,1,1,1,0,1
1976,30,27,31,14,5,3,1,1,1,0,0,1
1977,31,15,15,19,9,3,2,1,1,1,0,1
1978,37,16,9,9,13,6,2,1,1,0,0,1
1979,46,19,9,5,6,8,4,1,1,0,0,1
1980,66,24,11,6,3,4,5,2,1,0,0,1
1981,54,33,13,7,4,2,2,3,1,0,0,1
1982,45,27,19,8,4,2,1,1,2,1,0,1
1983,53,23,16,12,5,3,1,1,1,1,1,1
1984,66,27,13,10,8,3,2,1,0,1,1,1
1985,28,34,15,8,6,5,2,1,0,0,0,1
1986,51,14,19,9,5,4,3,1,1,0,0,1
1987,44,26,8,11,6,3,3,2,1,0,0,1
1988,82,22,15,5,7,4,2,2,1,1,0,1
1989,81,42,13,9,3,5,2,1,1,1,0,1
1990,35,41,23,7,5,2,3,1,1,1,1,1
1991,87,18,23,13,4,3,1,2,1,1,0,1
1992,54,44,10,14,8,3,2,1,1,1,0,1
1993,68,27,25,6,9,5,2,1,0,1,0,1
1994,73,34,15,15,4,6,3,1,1,0,0,1
1995,95,37,19,9,9,2,3,2,1,0,0,1
1996,56,48,21,12,6,6,1,2,1,0,0,1
1997,50,28,27,12,7,4,4,1,1,1,0,1
1998,33,25,16,16,8,5,2,2,1,1,1,1
1999,117,17,14,10,10,5,3,1,1,0,1,1
2000,30,59,10,9,6,7,3,2,1,1,0,1
2001,110,15,34,6,5,4,4,2,1,1,1,1
2002,107,56,9,20,4,3,2,2,1,1,0,1
2003,88,54,32,5,12,2,1,1,1,1,0,1
2004,57,44,31,19,3,7,1,1,0,1,0,1
2005,57,29,25,18,12,2,4,0,0,0,0,1
2006,92,29,17,15,11,7,1,2,0,0,0,0
2007,119,46,17,10,10,7,3,0,1,0,0,0
2008,81,60,27,10,6,6,4,2,0,1,0,0
2009,80,41,34,16,7,4,3,2,1,0,0,0
2010,104,41,24,21,10,3,2,1,1,1,0,0
2011,134,53,23,14,13,6,1,1,1,1,0,0
2012,50,68,30,14,9,8,3,1,0,0,0,0
2013,75,25,39,18,9,6,4,1,0,0,0,0
2014,97,38,15,24,12,5,2,2,1,0,0,0
2015,90,49,22,9,15,7,2,1,1,0,0,0
2016,49,46,28,13,5,9,3,1,0,0,0,0
2017,56,25,26,17,8,3,5,2,0,0,0,0
2018,129,28,14,16,11,5,1,2,1,0,0,0
2019,108,65,16,8,10,6,2,1,1,0,0,0
2020,84,55,37,10,5,6,3,1,0,0,0,0
2021,66,42,31,22,6,3,3,1,0,0,0,0
2022,71,34,24,19,14,4,1,1,1,0,0,0
