Year,1,2,3,4,5,6,7,8,9,10
1952,98,38,22,15,10,7,5,4,3,4
1953,102,37,22,15,10,7,5,4,3,5
1954,125,37,22,14,10,7,5,4,3,6
1955,129,48,21,14,10,7,5,4,3,6
1956,77,52,29,14,10,7,5,4,3,6
1957,65,29,31,19,9,7,5,4,3,7
1958,92,25,17,20,13,7,5,4,3,7
1959,71,33,15,11,14,9,5,4,3,7
1960,58,31,19,9,8,9,6,3,3,7
1961,61,21,18,12,6,5,7,4,2,7
1962,61,25,12,12,8,4,4,5,3,6
1963,56,23,15,8,8,6,3,3,3,7
1964,60,22,13,9,5,6,4,2,2,7
1965,54,23,13,8,6,4,4,3,2,7
1966,57,20,14,8,6,4,3,3,2,6
1967,61,21,12,9,6,4,3,2,2,6
1968,43,25,12,8,6,4,3,2,1,6
1969,58,16,15,8,5,4,3,2,2,5
1970,59,21,10,10,5,4,3,2,1,5
1971,35,23,12,6,6,4,3,2,1,4
1972,51,12,13,8,4,5,2,2,1,4
1973,63,19,7,9,5,3,3,2,1,4
1974,43,23,11,4,6,4,2,2,1,4
1975,90,17,14,7,3,4,3,1,2,4
1976,45,32,10,9,5,2,3,2,1,4
1977,63,17,19,6,6,3,1,2,1,3
1978,42,22,10,12,4,4,2,1,1,3
1979,33,17,13,6,8,3,3,2,1,3
1980,58,11,10,8,4,5,2,2,1,3
1981,53,21,6,7,5,3,4,1,1,3
1982,71,18,12,4,4,4,2,3,1,3
1983,56,24,10,7,3,3,2,1,2,3
1984,47,18,14,6,5,2,2,2,1,3
1985,72,15,10,9,4,3,1,1,1,3
1986,45,23,8,6,6,3,2,1,1,3
1987,56,14,13,5,4,4,2,2,1,3
1988,93,17,8,8,3,3,3,1,1,2
1989,53,30,9,5,5,2,2,2,1,3
1990,68,16,17,6,3,3,2,1,1,2
1991,51,19,9,10,4,2,2,1,1,3
1992,71,13,10,6,7,3,2,2,1,3
1993,51,19,7,6,4,5,2,1,1,2
1994,62,14,10,5,4,2,3,1,1,2
1995,76,17,8,6,3,3,2,2,1,2
1996,72,25,9,5,4,2,2,1,1,2
1997,50,19,14,6,3,3,1,1,1,3
1998,77,14,10,8,4,2,2,1,1,2
1999,51,19,8,6,5,2,1,1,1,2
2000,91,11,9,5,4,4,2,1,1,2
2001,67,24,6,6,3,2,2,1,1,2
2002,76,18,13,4,3,2,2,2,1,2
2003,53,21,10,8,2,2,1,1,1,2
2004,94,13,11,6,5,1,1,1,1,2
2005,55,24,7,7,4,3,1,1,1,2
2006,66,14,12,4,4,2,2,1,1,2
2007,65,16,8,7,3,3,2,1,0,2
2008,56,14,8,5,4,2,2,1,1,1
2009,75,12,7,5,3,3,1,1,1,2
2010,54,20,6,4,3,2,2,1,1,2
2011,55,12,10,4,3,2,1,1,1,2
2012,84,12,6,6,2,2,1,1,1,1
2013,75,21,6,4,4,2,1,1,1,2
2014,54,18,11,4,2,2,1,1,1,1
2015,63,13,9,7,2,2,2,1,1,1
2016,69,15,7,6,4,1,1,1,0,1
2017,63,16,8,4,4,3,1,1,1,1
2018,56,16,8,5,3,2,2,1,0,1
2019,49,14,8,5,3,2,2,1,0,1
2020,78,12,7,5,3,2,1,1,1,1
2021,66,17,6,4,3,2,1,1,1,1
