Year,1,2,3,4,5,6,7,8,9,10
1952,975,213,101,55,32,19,12,7,4,5
1953,521,213,100,55,32,19,12,7,4,6
1954,1542,132,100,55,32,19,12,7,4,6
1955,1008,323,64,55,32,19,12,7,4,7
1956,1045,214,151,35,32,19,12,7,4,7
1957,1066,236,100,82,20,19,11,7,4,7
1958,1026,215,111,54,47,12,11,7,4,7
1959,539,247,100,60,31,28,7,7,4,7
1960,621,124,117,54,35,18,17,5,4,7
1961,815,127,59,64,31,21,11,10,3,7
1962,796,183,59,32,37,18,12,7,6,6
1963,1025,169,87,32,18,22,11,8,4,8
1964,592,200,79,47,18,11,13,7,5,7
1965,611,154,92,43,27,11,7,8,4,7
1966,676,125,75,50,24,16,6,4,5,7
1967,691,157,58,41,28,14,10,4,2,7
1968,503,144,74,31,24,17,9,6,2,6
1969,983,119,67,40,18,14,10,5,4,5
1970,513,210,57,36,23,11,8,6,3,5
1971,565,117,98,31,21,14,6,5,4,5
1972,843,119,55,53,18,12,8,4,3,6
1973,460,158,55,30,30,10,7,5,2,5
1974,567,117,72,30,17,18,6,4,3,5
1975,762,100,56,39,17,10,11,4,3,5
1976,828,162,45,30,22,10,6,6,2,5
1977,532,171,75,24,17,13,6,4,4,4
1978,568,120,79,40,13,10,8,4,2,5
1979,640,113,56,42,22,8,6,5,2,4
1980,605,130,52,30,23,13,4,4,3,4
1981,626,114,60,27,17,13,8,3,2,4
1982,674,131,51,31,15,10,8,5,2,4
1983,609,135,60,27,18,9,6,5,3,3
1984,772,121,60,31,15,10,5,3,3,4
1985,723,133,54,31,18,9,6,3,2,4
1986,817,155,58,29,18,10,5,4,2,4
1987,619,151,70,30,16,10,6,3,2,3
1988,660,125,66,37,17,9,6,4,2,3
1989,567,124,56,35,21,10,6,4,2,3
1990,631,91,53,29,19,12,6,3,2,3
1991,524,118,38,27,16,11,7,3,2,3
1992,615,83,49,19,15,9,6,4,2,3
1993,625,110,35,25,10,8,5,4,3,3
1994,607,106,47,17,13,6,5,3,2,3
1995,547,110,45,23,9,8,3,3,2,3
1996,625,90,47,22,13,5,4,2,2,3
1997,451,110,39,24,12,7,3,3,1,3
1998,702,64,45,19,13,7,4,2,1,2
1999,567,118,26,22,10,7,4,2,1,2
2000,583,88,49,13,12,6,4,2,1,2
2001,628,95,37,24,7,6,3,2,1,2
2002,609,98,39,18,12,4,4,2,1,2
2003,553,100,41,19,9,7,2,2,1,2
2004,645,76,40,20,10,5,4,1,1,2
2005,625,102,31,20,10,6,3,2,1,2
2006,730,92,41,15,10,6,3,2,1,1
2007,671,118,37,20,8,6,3,2,1,2
2008,581,109,49,18,11,4,3,2,1,1
2009,554,93,44,23,9,6,2,2,1,1
2010,545,88,38,22,12,5,3,1,1,2
2011,581,85,35,18,11,7,3,2,1,1
2012,700,93,34,16,9,6,4,2,1,1
2013,718,110,39,16,8,5,3,2,1,1
2014,627,113,45,18,8,4,3,2,1,1
2015,674,104,47,21,9,4,2,1,1,1
2016,629,111,44,22,10,5,2,1,1,1
2017,754,93,45,20,11,6,3,1,1,1
2018,845,111,38,21,10,6,3,1,1,1
2019,662,127,46,18,10,6,3,2,1,1
2020,866,104,53,22,9,6,3,2,1,1
2021,676,120,43,26,12,5,3,2,1,1
