Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1995,0.01,0.03,0.07,0.12,0.17,0.22,0.26,0.29,0.29,0.29,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17
1996,0.01,0.02,0.04,0.07,0.11,0.13,0.16,0.17,0.18,0.17,0.17,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
1997,0.01,0.03,0.05,0.09,0.13,0.17,0.19,0.21,0.22,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
1998,0.01,0.03,0.07,0.12,0.17,0.21,0.25,0.27,0.28,0.28,0.27,0.25,0.24,0.22,0.21,0.20,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17
1999,0.02,0.05,0.10,0.18,0.25,0.32,0.37,0.41,0.42,0.41,0.40,0.37,0.35,0.33,0.31,0.30,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25
2000,0.01,0.04,0.07,0.12,0.18,0.23,0.27,0.30,0.30,0.30,0.29,0.27,0.25,0.24,0.23,0.22,0.21,0.20,0.20,0.19,0.19,0.19,0.18,0.18,0.18,0.18
2001,0.02,0.04,0.08,0.13,0.19,0.25,0.29,0.31,0.32,0.31,0.30,0.28,0.27,0.25,0.24,0.23,0.22,0.21,0.21,0.20,0.20,0.20,0.19,0.19,0.19,0.19
2002,0.02,0.04,0.09,0.16,0.23,0.29,0.34,0.37,0.39,0.38,0.36,0.34,0.32,0.30,0.29,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22
2003,0.02,0.04,0.09,0.15,0.22,0.28,0.33,0.36,0.37,0.37,0.35,0.33,0.31,0.29,0.28,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22
2004,0.03,0.06,0.13,0.22,0.33,0.42,0.49,0.53,0.55,0.54,0.52,0.49,0.46,0.43,0.41,0.39,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32
2005,0.02,0.04,0.09,0.15,0.22,0.29,0.33,0.36,0.37,0.37,0.35,0.33,0.31,0.30,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22
2006,0.02,0.04,0.09,0.16,0.23,0.29,0.34,0.37,0.38,0.38,0.36,0.34,0.32,0.30,0.29,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22
2007,0.01,0.03,0.07,0.12,0.18,0.23,0.26,0.29,0.30,0.29,0.28,0.26,0.25,0.23,0.22,0.21,0.20,0.20,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17
2008,0.02,0.05,0.10,0.16,0.24,0.31,0.36,0.39,0.40,0.40,0.38,0.36,0.34,0.32,0.30,0.29,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23
2009,0.02,0.04,0.09,0.15,0.23,0.29,0.34,0.37,0.38,0.38,0.36,0.34,0.32,0.30,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22
2010,0.02,0.05,0.10,0.17,0.25,0.32,0.37,0.41,0.42,0.41,0.40,0.37,0.35,0.33,0.31,0.30,0.29,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24
2011,0.01,0.03,0.07,0.12,0.17,0.22,0.26,0.28,0.29,0.29,0.28,0.26,0.25,0.23,0.22,0.21,0.20,0.20,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18
2012,0.02,0.05,0.10,0.17,0.25,0.32,0.37,0.41,0.42,0.41,0.40,0.37,0.35,0.33,0.31,0.30,0.29,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25
