Year,1,2,3,4
1972,3142,562,181,74
1973,5389,563,182,91
1974,3015,901,181,97
1975,4050,631,288,100
1976,2849,670,208,138
1977,2336,542,212,124
1978,3683,392,174,118
1979,2712,623,125,104
1980,1680,503,198,81
1981,2535,296,160,98
1982,2589,430,94,91
1983,3113,424,135,65
1984,3060,516,132,70
1985,2202,517,162,71
1986,2683,355,162,81
1987,2759,446,110,84
1988,3022,425,139,68
1989,1213,518,130,72
1990,1730,193,155,68
1991,1590,223,57,74
1992,1958,222,63,44
1993,2269,262,65,35
1994,2179,342,77,34
1995,1733,305,101,37
1996,2227,254,88,45
1997,2008,303,76,45
1998,2990,279,88,41
1999,2018,421,82,43
2000,2213,282,124,42
2001,2326,299,83,55
2002,3239,319,86,46
2003,1819,467,92,43
2004,2809,251,135,45
2005,2571,367,75,60
2006,2581,333,105,45
2007,2985,327,97,49
2008,1958,379,94,48
2009,2742,222,105,46
2010,2912,307,62,49
2011,1789,359,87,37
2012,2972,217,101,40
2013,2911,343,62,46
2014,2897,339,96,35
2015,2823,354,94,43
2016,2246,360,100,45
2017,2330,255,100,47
2018,2862,242,71,48
2019,2692,326,66,39
2020,2580,346,89,34
2021,2347,253,96,39
2022,2518,305,70,44
2023,2636,291,90,38
2024,2611,300,80,42
