Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1952,1845,932,599,419,306,230,176,136,106,83,66,52,42,33,26,21,17,14,11,46
1953,1845,932,599,419,306,230,176,136,106,83,66,52,42,33,26,21,17,14,11,46
1954,1845,932,599,419,306,230,176,136,106,83,66,52,41,33,26,21,17,14,11,46
1955,1844,932,599,418,306,229,175,136,106,83,66,52,41,33,26,21,17,14,11,46
1956,1844,932,599,417,305,229,175,135,106,83,66,52,41,33,26,21,17,14,11,46
1957,1844,932,599,418,304,228,174,135,105,83,65,52,41,33,26,21,17,14,11,46
1958,1844,932,599,418,305,228,174,135,105,83,65,52,41,33,26,21,17,14,11,46
1959,1843,931,598,417,304,228,174,134,105,82,65,52,41,33,26,21,17,13,11,46
1960,1843,931,598,416,303,227,173,134,104,82,65,51,41,33,26,21,17,13,11,45
1961,1843,931,598,417,304,227,173,134,104,82,65,51,41,33,26,21,17,13,11,45
1962,1843,931,597,416,303,227,173,133,104,81,64,51,41,32,26,21,17,13,11,45
1963,1842,931,597,416,303,227,172,133,104,81,64,51,40,32,26,21,17,13,11,45
1964,1842,930,596,415,302,226,172,133,103,81,64,50,40,32,26,21,16,13,11,45
1965,1842,931,597,416,302,226,172,133,103,81,64,50,40,32,26,20,16,13,11,45
1966,1841,930,596,414,301,225,171,132,103,80,63,50,40,32,25,20,16,13,11,44
1967,1841,930,595,413,300,224,170,131,102,80,63,50,40,32,25,20,16,13,10,44
1968,1840,930,596,413,299,223,170,131,102,80,63,50,39,31,25,20,16,13,10,44
1969,1827,929,594,412,299,222,169,130,101,79,62,49,39,31,25,20,16,13,10,43
1970,1824,923,595,413,299,222,168,129,100,78,62,49,39,31,25,20,16,13,10,43
1971,1820,921,591,413,299,222,168,129,100,78,61,48,38,31,24,20,16,13,10,43
1972,1815,919,589,409,298,221,167,128,99,77,61,48,38,30,24,19,15,12,10,42
1973,1809,917,588,407,294,220,166,127,98,76,60,47,37,30,24,19,15,12,10,41
1974,1802,913,586,407,294,218,166,127,98,76,60,47,37,30,24,19,15,12,10,41
1975,1795,910,583,405,293,217,164,127,98,76,59,47,37,29,23,19,15,12,10,41
1976,1786,906,582,404,293,218,164,126,98,76,59,47,37,29,23,19,15,12,10,40
1977,1775,902,578,401,291,216,164,125,97,76,59,46,37,29,23,18,15,12,9,40
1978,1763,897,578,402,291,217,164,126,97,76,59,47,37,29,23,18,15,12,9,40
1979,1754,891,574,401,292,217,164,126,98,76,59,47,37,29,23,18,15,12,9,40
1980,1743,885,569,397,289,216,164,126,97,76,59,46,37,29,23,18,15,12,9,39
1981,1740,880,565,392,285,214,162,125,97,75,59,46,36,29,23,18,15,12,9,39
1982,1746,878,561,388,281,210,160,123,95,74,58,46,36,29,23,18,14,11,9,38
1983,1726,881,560,386,278,207,157,121,94,74,58,45,36,28,23,18,14,11,9,38
1984,1887,872,564,387,279,206,156,120,94,73,57,45,36,28,22,18,14,11,9,38
1985,1709,952,557,389,279,206,155,119,92,73,57,45,36,28,22,18,14,11,9,38
1986,1613,862,607,383,279,206,155,118,91,71,56,45,35,28,22,18,14,11,9,37
1987,1755,814,550,418,275,206,154,118,91,71,56,44,35,28,22,18,14,11,9,37
1988,1901,886,519,379,300,203,154,117,90,70,55,43,35,27,22,17,14,11,9,37
1989,2046,958,563,355,270,219,151,116,89,69,54,43,34,27,22,17,14,11,9,36
1990,3064,1033,610,386,254,198,164,114,89,69,54,42,33,27,21,17,14,11,9,36
1991,1749,1546,658,420,277,187,149,125,88,69,54,42,33,26,21,17,14,11,9,36
1992,2245,883,987,454,302,205,141,113,96,68,54,42,33,26,21,17,13,11,9,36
1993,2032,1133,563,679,326,223,154,107,87,74,53,42,33,26,21,16,13,11,9,35
1994,2215,1026,723,388,489,241,168,117,82,67,58,41,33,26,21,16,13,10,8,35
1995,1422,1117,653,496,278,359,180,127,90,64,52,45,32,26,20,16,13,10,8,35
1996,1037,718,713,450,357,205,271,138,98,70,50,41,36,26,21,16,13,10,8,35
1997,1761,523,456,488,321,262,153,205,105,76,54,39,32,28,20,16,13,10,8,34
1998,2082,888,331,310,346,234,194,115,155,80,58,42,30,25,22,16,13,10,8,34
1999,833,1049,559,223,217,249,171,144,86,118,61,45,32,23,19,17,12,10,8,33
2000,1223,419,657,374,155,155,181,127,108,65,89,47,34,25,18,15,13,10,8,32
2001,2172,616,262,437,258,110,113,133,94,81,49,68,36,26,19,14,12,10,8,31
2002,1209,1093,383,173,298,181,79,82,98,70,61,37,52,27,20,15,11,9,8,30
2003,1572,606,675,250,117,208,129,57,60,73,52,46,28,39,21,15,11,8,7,30
2004,1830,790,377,442,169,81,148,93,42,44,54,39,34,21,30,16,12,9,6,29
2005,2045,918,487,243,295,116,57,106,67,31,33,40,30,26,16,23,12,9,7,27
2006,2668,1028,572,320,166,206,83,41,77,50,23,25,31,22,20,12,18,9,7,27
2007,1230,1339,636,370,214,113,145,59,30,57,37,17,18,23,17,15,10,13,7,26
2008,2655,619,831,412,246,146,79,102,42,22,42,27,13,14,17,13,12,7,10,26
2009,2514,1332,383,541,276,170,103,57,75,31,16,31,21,10,11,13,10,9,6,28
2010,2346,1261,826,251,367,193,122,75,42,56,24,12,24,16,7,8,10,8,7,27
2011,1684,1179,788,547,173,260,140,89,56,32,42,18,9,18,12,6,6,8,6,27
2012,1955,844,729,513,370,120,185,102,66,42,24,32,14,7,14,9,4,5,6,26
2013,1623,981,522,475,346,257,85,134,75,49,31,18,24,11,6,11,7,3,4,25
2014,623,813,606,340,320,241,183,62,99,56,37,24,14,19,8,4,8,6,3,23
2015,1335,312,500,391,228,221,170,132,45,73,42,28,18,10,14,6,3,7,4,20
2016,728,668,191,321,260,156,155,122,96,33,54,31,21,14,8,11,5,3,5,19
2017,1185,364,410,124,216,180,111,112,89,71,25,41,24,16,10,6,9,4,2,19
2018,1218,592,223,265,83,149,128,80,82,66,53,19,31,18,12,8,5,7,3,17
2019,2402,609,361,142,174,56,104,91,58,60,49,40,14,24,14,9,6,4,5,15
2020,1476,1203,375,233,95,120,40,75,67,43,45,37,30,11,18,11,7,5,3,16
2021,853,742,751,247,159,67,86,29,55,50,32,34,28,23,8,14,8,6,4,15
2022,1727,429,463,496,169,112,48,63,22,41,38,25,26,22,18,6,11,6,4,15
2023,1729,867,267,305,338,119,80,35,47,16,31,29,19,20,17,14,5,9,5,15
