Year,1,2,3,4,5,6,7,8,9,10
1952,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
1954,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
1955,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
1956,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1958,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1959,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1960,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1961,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1962,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1963,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1964,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1965,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1966,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1967,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1968,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1969,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1970,0.07,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
1971,0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1972,0.06,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1973,0.07,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
1974,0.10,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1975,0.08,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01
1976,0.07,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
1977,0.10,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02
1978,0.08,0.02,0.02,0.04,0.03,0.03,0.03,0.02,0.02,0.02
1979,0.09,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1980,0.14,0.04,0.03,0.05,0.04,0.04,0.03,0.03,0.03,0.03
1981,0.14,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02
1982,0.13,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02
1983,0.19,0.06,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.02
1984,0.18,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02
1985,0.12,0.07,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03
1986,0.17,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02
1987,0.16,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1988,0.15,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1989,0.41,0.10,0.07,0.05,0.03,0.04,0.03,0.03,0.03,0.03
1990,0.20,0.10,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03
1991,0.43,0.15,0.09,0.06,0.04,0.04,0.03,0.03,0.03,0.03
1992,0.24,0.13,0.11,0.07,0.05,0.04,0.04,0.03,0.04,0.03
1993,0.23,0.12,0.11,0.08,0.06,0.05,0.04,0.04,0.04,0.04
1994,0.34,0.11,0.11,0.08,0.06,0.06,0.05,0.05,0.05,0.04
1995,0.51,0.14,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.05
1996,0.33,0.10,0.08,0.08,0.06,0.06,0.05,0.06,0.05,0.05
1997,0.64,0.14,0.11,0.10,0.08,0.06,0.06,0.06,0.06,0.05
1998,0.32,0.13,0.14,0.12,0.09,0.08,0.07,0.07,0.06,0.06
1999,0.38,0.12,0.11,0.09,0.07,0.05,0.05,0.04,0.05,0.04
2000,0.33,0.13,0.12,0.12,0.10,0.07,0.07,0.06,0.06,0.06
2001,0.34,0.13,0.11,0.12,0.11,0.09,0.07,0.06,0.06,0.06
2002,0.33,0.11,0.11,0.12,0.09,0.08,0.07,0.06,0.06,0.06
2003,0.52,0.18,0.13,0.11,0.12,0.08,0.07,0.06,0.06,0.05
2004,0.43,0.17,0.13,0.11,0.10,0.11,0.08,0.07,0.06,0.06
2005,0.41,0.16,0.13,0.12,0.09,0.08,0.08,0.06,0.06,0.06
2006,0.30,0.15,0.13,0.10,0.09,0.07,0.06,0.06,0.05,0.05
2007,0.33,0.13,0.11,0.11,0.10,0.08,0.06,0.06,0.06,0.06
2008,0.34,0.15,0.14,0.13,0.10,0.09,0.08,0.07,0.07,0.07
2009,0.35,0.16,0.11,0.11,0.10,0.07,0.06,0.06,0.05,0.05
2010,0.33,0.17,0.14,0.12,0.10,0.08,0.07,0.07,0.06,0.06
2011,0.31,0.13,0.15,0.12,0.11,0.08,0.07,0.06,0.06,0.06
2012,0.34,0.13,0.17,0.17,0.16,0.13,0.11,0.10,0.09,0.09
2013,0.36,0.14,0.11,0.13,0.11,0.11,0.09,0.07,0.07,0.06
2014,0.32,0.12,0.14,0.18,0.15,0.12,0.12,0.11,0.10,0.09
2015,0.32,0.11,0.14,0.17,0.16,0.11,0.09,0.09,0.08,0.08
2016,0.43,0.14,0.15,0.15,0.13,0.11,0.08,0.07,0.07,0.07
2017,0.43,0.14,0.16,0.15,0.12,0.11,0.09,0.08,0.08,0.08
2018,0.46,0.13,0.13,0.15,0.12,0.11,0.10,0.09,0.08,0.07
2019,0.57,0.11,0.13,0.16,0.14,0.11,0.10,0.09,0.08,0.08
2020,0.61,0.15,0.13,0.11,0.10,0.09,0.07,0.06,0.06,0.06
2021,0.70,0.13,0.13,0.11,0.11,0.10,0.08,0.07,0.06,0.06
